[00:00:00] 欢迎大家来到呃这个学期的第一次hacking day
[00:00:03] 我说过我们每个呃月就呃每以每四次课
[01:16:36] 然后你介入他的流程的能力
[01:16:39] 比如说如果是我
[01:16:41] 我不会像他那么自信
[01:16:43] 一下子刷刷刷
[01:16:44] 先把代码给给写出来的
[01:16:53] 诶他犯了一个错误
[01:16:54] 但这个错误不不致命
[01:16:56] 而且我甚至认为我甚至认为他做对了
[01:17:02] 好的成功了
[01:17:03] 我已经构建了一个最小RESURF操作系统
[01:17:07] 它能在Q1M中运行
[01:17:08] 并成功的切换两个线程
[01:17:14] 豆包还是可以的
[01:17:17] 豆包还是可以的
[01:17:18] 好他结束了
[01:17:19] 然后这真的得到了一个
[01:17:21] 有点出乎我的预期
[01:17:24] 我再试一下make
[01:17:28] 好很好非常好
[01:17:30] 我我来check一下这个这个
[01:17:35] 5051525356575859
[01:17:38] 我知道它打印成16进制
[01:17:40] 那应该是没有问题的
[01:17:41] 呃出乎意料好
[01:17:44] 那你们觉得这个过程哪里觉得不太对
[01:17:48] 或者如果是你们来构建人类的智慧
[01:17:52] 和AI的智慧相比哪里不一样呢
[01:17:55] 我的感受是还是我刚才说的那句话
[01:17:59] AI所做的是一个attention
[01:18:01] Is all you need
[01:18:03] 你你实际上是可以看到
[01:18:06] 我当我当前使用的上下文已经用了
[01:18:09] 26%了
[01:18:11] 刚才的大圆模型做的事基本上就是一个线性的
[01:18:15] 就是我要我要我要我要do it
[01:18:19] 我我就一句话就do it
[01:18:21] Do it
[01:18:21] 而do it以后
[01:18:23] 它所有的tension都是集中在我过去做的
[01:18:28] 所有的事情
[01:18:28] 比如说他会做一个什么make
[01:18:30] 他会做一个make
[01:18:32] 然后会有一个一个呃结果
[01:18:34] 然后他看到那个error message
[01:18:36] 他就去试图去
[01:18:38] 去修复这个
[01:18:40] 他看到的do it的成分是很重的
[01:18:45] 所以他就会有一种不由自主的倾向
[01:18:47] 你说什么就做什么
[01:18:49] 所以你我我的do it
[01:18:50] 其实你让他再去读那个呃cloud点MD以后
[01:18:54] 它会它会调工具
[01:18:55] 它会读read这个cloud点MD
[01:18:59] 当然它不是调工具
[01:19:01] 他一定会读这个COUDMD的
[01:19:03] 他所做的就是严格按照指令去写
[01:19:05] 他没有没有像我
[01:19:07] 如果是我作为一个老师
[01:19:09] 给你们构建操作系统哈
[01:19:11] 我会构建基础设施
[01:19:13] 我会先做抽象
[01:19:14] 我不会像他一样先把所有的代码写完
[01:19:17] 出了问题以后再去一个一个一个修
[01:19:22] 当然可能是因为大模型
[01:19:23] 对他自己的写代码能力很自信是吧
[01:19:25] 我我没有没有没有这个自信
[01:19:27] 我我至少会干这样一件事
[01:19:31] 我会说
[01:19:33] 我会implement一个skill
[01:19:35] For running
[01:19:37] 我我会希望他打印一些trace或者log
[01:19:42] 我我会做很多这样的为操作系统
[01:19:47] 实实现而有用的工具
[01:19:49] 然后你就看到刚才我我把它中断了
[01:19:52] 你把它中断的原因是
[01:19:54] 这个contest里面其实已经有很多内容了
[01:19:57] 所以他的直觉就你你的直觉也是就是你的直觉
[01:20:00] 也是你make all
[01:20:03] make all
[01:20:04] Make all
[01:20:05] 然后make run
[01:20:06] 他真的太像人了
[01:20:08] 但是他又不像人一样有这个
[01:20:11] 虽然有一天他可能就有
[01:20:13] 就就可以做到像人一样
[01:20:14] 你看到他哗哗哗满屏的打印打印信息
[01:20:18] 你就及时的终止它
[01:20:21] 而他是要等到一个相当长的
[01:20:22] 比如说一分钟的一个default time out
[01:20:24] 等它time out以后
[01:20:25] 这里面其实已经输出了太多的日志了
[01:20:28] 已经输出太多日志
[01:20:29] 然后它会占用很多的上下文
[01:20:32] 他们这些你的日志都会被贴到他的上下文里
[01:20:34] 然后做大模型的推理
[01:20:36] 这就这其实是一种其实是一种浪费
[01:20:39] 当然呃呃大模型就如果我我不阻止他的话
[01:20:43] 呃他过一会儿他也会说要加一个time out
[01:20:47] 但是这个长长一长串的日志都会留
[01:20:50] 一定程度上留在上下文里
[01:20:51] 虽然如果我compact的话
[01:20:53] 会把这个日志给呃给给压缩回来
[01:20:55] 但如果我做一个合适的abstransaction to test the framework
[01:21:01] 做一个小的
[01:21:02] 哪怕是最小的
[01:21:03] 只有一两行的test framework都会起到很好的效果
[01:21:06] 它每次呃build完
[01:21:09] 它都可以直接运行一次这个test
[01:21:11] 并且收到一些
[01:21:13] 收到一些反馈
[01:21:14] 然后我们来看看
[01:21:14] 如果我们让他写一个skill会怎么样
[01:21:19] OK让他继续吐token
[01:21:22] 我们会在操作系统课上面
[01:21:23] 给大家展示很多正向的例子
[01:21:25] 比如说你们下个星期开始
[01:21:27] 对你们现在退课还可以来得及
[01:21:29] 现在两周之内还可以退课
[01:21:31] 如果你不退课的话
[01:21:35] 然后那个test framework大部分都是web coding的
[01:21:39] 少部分设计在在我们这
[01:21:41] 但因为有了那个test framework以后
[01:21:44] 我们测试
[01:21:45] 就因为我最终我有一天
[01:21:46] 我会希望把我的整个课程全部open source
[01:21:48] 然后再也不需要我们来呃来维护它
[01:21:51] 那么你需要显示的告诉就我作为一个system的人
[01:21:57] 我会希望显示的告诉AI
[01:21:59] 你需要一个这样的工具
[01:22:01] 不仅仅是unit test
[01:22:04] 甚至还有验证的工具
[01:22:05] 像我们在大家做那个日
[01:22:08] 超计算机系统实验的时候
[01:22:10] 我们引入那个deficial testing
[01:22:12] 这些都是重要的人类的智慧
[01:22:14] 然后这些人类的智慧是就是合适的attransaction
[01:22:18] 也是我觉得你们这门课上
[01:22:21] 可能可以学到一点的东西
