[00:00:00] 好今天我们来讲和生成式软件工程里面非常关系特别大的一个
[01:24:20] 只是你学的方法会变好
[01:24:22] 你会用我们更高效的方法啊方法来学
[01:24:25] 然后你理解了上下文以后
[01:24:28] 我们会用一个学期来解释
[01:24:30] 怎么样用软件工程里面的各种各样的方法去给出一个正确的指令
[01:24:35] 去监控AI运行
[01:24:37] 怎么样给AI好的
[01:24:39] 什么叫好的verify
[01:24:40] 今天我只是提到
[01:24:41] OK你要在上下文里面放放放进VERIF
[01:24:44] 那什么是好的WIFI
[01:24:45] 你们可以自己
[01:24:46] 你们自己有自己的想法
[01:24:47] 我今天有一些比较松散的啊想法
[01:24:51] 今天我们还是需要把模型引导到你认为合适的位置上
[01:24:54] 但是这已经比我组一个工程团队
[01:24:58] 我要我要雇很多的人
[01:24:59] 然后我要和他们拉通对齐
[01:25:01] 这种互联网黑化
[01:25:03] 那个呃呵
[01:25:05] 你不需要模型
[01:25:07] 很聪明
[01:25:07] 他见过你只需要用正确的提示词
[01:25:10] 简练的提示词放在这个上下文里面
[01:25:13] 让这个提示词一直能被看到
[01:25:15] 能把模型往那个方向引导
[01:25:19] 呃就可以
[01:25:20] 然后我这儿有一个有一个很好玩的故事
[01:25:23] 就是一个呃一个没有超能力AI的一个非常典型的案例
[01:25:29] 我们要做一个研究项目
[01:25:32] 研究项目
[01:25:33] 然后这个研究项目大概是做一个符号执行引擎的优化
[01:25:36] 你不需要知道这是什么
[01:25:37] 大概他就说我要写一个程序
[01:25:39] 可以分析一个程序自动分析
[01:25:40] 或者证明一个验证一个不算很大的程序的正啊正确性
[01:25:44] 这也是一种呃一种玩法
[01:25:46] 然后我们现现在这个东西提的
[01:25:48] 执行效率比较低
[01:25:49] 所以我们希望提出一些比较有效的优化
[01:25:51] 当然这也是一个非常合理的incremental的
[01:25:53] 适合学生做的
[01:25:55] 做的题目
[01:25:55] 然后为一个原始的idea
[01:25:57] 大概是我们我们用这样的方式可能可以有效
[01:26:00] 然后呃但有些东西是open的
[01:26:02] 比如说这个东西到底怎么做
[01:26:03] 什么东西有效
[01:26:04] 那可以写一个
[01:26:06] 写一个research
[01:26:06] 然后这位同学很开心诶
[01:26:09] 有道理
[01:26:10] 他认为这个idea有道理
[01:26:12] 然后GPT-5.6SALA也认为这个idea有道理
[01:26:15] 那确实就看起来确实这个
[01:26:17] 然后好这个
[01:26:19] 然后他就开始跑
[01:26:20] 然后就跑了非常多的token
[01:26:21] 然后呃按照那个同学的说法
[01:26:24] 是ChatGPT不断的在给我反馈
[01:26:27] 我无法验证他给我的反馈是是正确还是不正确
[01:26:31] 当他给我negative的时候
[01:26:33] 他的negative对
[01:26:36] 我也不知道应该怎么样怎样打破
[01:26:38] 然后好这个呃原汤化原食
[01:26:42] 这个就是GPT-5.6生成的
[01:26:44] 然后他的
[01:26:49] 他的错误犯在这句话上
[01:26:51] 就是就是因为它它就是在上下文里面有一个地方没有做好
[01:26:55] 就把整个方向
[01:26:57] 就我刚才说
[01:26:59] 我们需要把模型引导到你认为合适的位置上
[01:27:01] 然后这个引导错了
[01:27:03] 它因为模型成了一个reward hacker
[01:27:07] 这里有一个需求说我要我要就是这个同学说
[01:27:11] 我想证明这个A方法是有用的
[01:27:19] ChatGPT看到了这句话
[01:27:21] 他就忘记了
[01:27:22] 我们有一个更大的研究的big picture
[01:27:25] 我就是我
[01:27:27] 我我作为审稿人的时候
[01:27:29] 我是站在人类的角度上立场上去评审这篇论文的
[01:27:34] 然后我们站在这个构建者的立场上
[01:27:37] 我们是没有办法这样反过来的
[01:27:38] 反过来
[01:27:39] 所以我们只能从从一点一点从小的开始做
[01:27:42] 证明这个方法有用
[01:27:43] 然后他走他做错了这一步
[01:27:46] 他太想要去证明这个idea有用了
[01:27:50] 是因为有这样的一句prompt
[01:27:52] 然后他就构造了很多小的benchmark
[01:27:54] 然后在小的benchmark上做一些微小的东西
[01:27:58] 试图去给一些正面或者负面的结论
[01:28:01] 但这些结论对这个是没有用的
[01:28:04] 然后他这里面是犯了一个方法上的错误
[01:28:07] 呃当然我们纠正了
[01:28:08] 就说我告诉你PH14
[01:28:10] 等于说我们我们应该从一些真实的呃工具和state of art的算法开始
[01:28:16] 这个benchmark
[01:28:17] 哪怕要跑几个小时都time out
[01:28:19] 这个time out里面产生的这个搜索路径对我们来说是非常有价值的
[01:28:24] 它揭示了什么样的程序结构
[01:28:26] 对于现有的探索方法是不好的
[01:28:30] 然后这个这个这个这个还挺好玩的
[01:28:33] 一个一个research failure
[01:28:35] 所以他他他告诉你
[01:28:38] 今天人还是有用的
[01:28:39] 今天人还是有用的
[01:28:40] OK这个呃我们没有办法把所有的呃呃所有的事情都带了给这个AAI
[01:28:49] 但是与此同时
[01:28:52] 我们工作的方式可能也要发生发生变化
[01:28:55] 就是第一这些知识很重要
[01:28:58] 什么操作系统和编译器
[01:29:00] 如果你没有概念
[01:29:02] 你提不出那个正确的问题
[01:29:03] 找不到引导的正确的方向
[01:29:05] 你对人类的知识没有概念
[01:29:07] 你也很难去引导他解决一个open的呃question
[01:29:13] 但我也发现有些就在和AI合作的时候发生了变化
[01:29:17] 呃一般来说我发现
[01:29:20] 如果我盯着那个codex的session
[01:29:22] 然后它一旦跑偏
[01:29:24] 我就立即纠正它
[01:29:26] 我可以更快地完成任务
[01:29:28] 就如果是一个比如说就实现一个什么东西
[01:29:30] 比如说我今天就要上交互系统干个什么事
[01:29:32] 他如果我纠正他给他
[01:29:34] 只把我的领域知识注入进去
[01:29:37] 可能可能总时间会会完成的更快
[01:29:39] 但是如果我浪费更多的token给他更多时间
[01:29:43] 他一般来说也能完成
[01:29:46] 这时候就有一个trade off
[01:29:48] 我到底是我花我的钱
[01:29:50] 就是你的人力是有
[01:29:51] 就你们每一个同学的精力都是有限有有限的
[01:29:55] 每个同学都应该去思考
[01:29:57] 你要把你宝贵的那些经历放到怎么处理AI上
[01:30:04] 因为因为因为是这样
[01:30:06] 我我自己发现这是我自己的问题
[01:30:08] 纠正AI是一个有多巴胺的事情
[01:30:13] 他给我一种什么感觉呢
[01:30:15] 虽然AI很强
[01:30:16] 我好像还是比AI有点用的
[01:30:18] 就他会产生这种非常微妙的心理安慰
[01:30:21] 而不是这个我我就一个yo mod
[01:30:24] 然后就就等我回来的
[01:30:26] 我也不用我我也不会看历史
[01:30:28] 我他反正搞定了
[01:30:29] 我验收一下
[01:30:30] 他真的搞定了
[01:30:30] 我就我就不会看了
[01:30:32] 但这个可能很在非常长的时间里面都会成为同学们工作的一个常态
[01:30:39] 这个你们只只有把AI用在
[01:30:42] 就是把自己的时间留在这些收益最大的事情上
[01:30:45] 这个时间是不能生的
[01:30:47] 就你你有一个东西
[01:30:49] 不知道这些东西
[01:30:51] 不知道你想要把它弄
[01:30:54] 知道这是你几乎百分之百的时间都要作为学生要做的做的事情
[01:30:58] 剩下比如说这件事情你知道应该怎么干了
[01:31:01] 把它干好
[01:31:03] AI能把它干好
[01:31:04] 你就放手
[01:31:05] 让他让他干
[01:31:06] 这样就就有一种是呃好像在PREAI的时代
[01:31:09] 大家就已经说了
[01:31:10] 说不说要不要假努力
[01:31:13] 你你自我自己感动自己的努力是没有用的
[01:31:15] 你要你要有有效的努力
[01:31:17] 在AI时代可能呃这个效果会差距拉的更大
[01:31:21] 就是你你的每一秒钟的假努力
[01:31:23] 如果有一个你的peer是在真努力
[01:31:25] 你都是呃损失非常非常非常非常大的对
[01:31:29] 这是一个啊这是一个自己的一个小小心得吧
[01:31:32] 对然后以及最后你你们也会发现在随着指指指令上下文的增长
[01:31:38] 指令遵循的能力确实会啊会下降的
[01:31:41] 但是现在模型有个很有意思的特点
[01:31:43] 一般来讲最后的prompt就留在最后的那个指令还是可以遵循的
[01:31:49] 到前面之后
[01:31:50] 尤其是到中间的时候
[01:31:50] 他上下文指令不遵循
[01:31:52] 所以干活还是很好用的
[01:31:55] 因为一般最后一个短窗口就是一个具体的任务
[01:31:59] 是你的prompt帮我把什么东西修了诶
[01:32:02] 他就真的还是可以把这个事情给给给做完
[01:32:05] 所以模型还是啊非常值得
[01:32:08] 值得使用的好
[01:32:11] 那就啊到最后
[01:32:16] 如果你真正想要做一个真正long horizon的非常非常难的任务
[01:32:24] 他不是解决一个问题
[01:32:27] 而是在一个不确定性当中探索
[01:32:31] 那么chp out其实就是解决不了的了
[01:32:35] chain of thought能够解决的是一个有VER法
[01:32:37] 它确定的一直往后就能解决的问题
[01:32:40] 但是如果你让他去解决一个
[01:32:44] 帮我考虑一下几种方案
[01:32:45] 哪哪个方案最好
[01:32:47] 他很有可能会给你一个不是最好的啊方案
[01:32:51] 为什么呢
[01:32:52] 实验模型已经被训练成舔狗了
[01:32:54] 他完成任务才有奖励
[01:32:57] 他完成他不完成任务
[01:32:58] 他是没有奖励的
[01:33:01] 所以他会给你一个有限的方案
[01:33:03] 就像P和NP就是你大家都知道P和P它有这个两个complexity class
[01:33:09] 甚至有更大的这个complexity class
[01:33:11] 有个整个的朋友们
[01:33:12] 还有rocky
[01:33:14] NP问题说你想要呃验证一个解是比较容易的
[01:33:20] 是P的
[01:33:21] 但是你想要这个找到那个满足条件的解是很难的
[01:33:26] 要找一个habalton pass你
[01:33:29] 你你给你个路径是不是ham alton
[01:33:30] 你很容易
[01:33:31] 但是呃你想要想要找到一个满足条件的发生
[01:33:35] 就是np complete
[01:33:36] 它是一个完全问题
[01:33:37] three reset这样的
[01:33:39] 这样这样的问题
[01:33:40] 而呃就是因为这个这个搜索是困难的
[01:33:45] 这个验证是容易的模型
[01:33:47] 为了完成任务
[01:33:48] 它势必只能做有限的搜索
[01:33:52] 这样想一想
[01:33:52] 这样想一想
[01:33:53] 有有一种是你在考试场上花点时间
[01:33:57] 一定要把这个考试题写完
[01:33:59] 无论如何
[01:34:00] 马上要交卷了
[01:34:01] 你写你的分数就比不写要高
[01:34:03] 所以你一定要写点写写写点什么
[01:34:06] 这个时候啊你就可以用一个算力换智力的循环
[01:34:14] 我举我举个例子
[01:34:15] 我举个例子
[01:34:22] 你们这一代人是你们这一代人是子涵吗
[01:34:28] 就你们有很多同学是子涵吗
[01:34:30] 没有你们还没有你们
[01:34:33] 你们可能你们比你们再小五岁的那个班上
[01:34:36] 一个班上就有五个甚至十个子涵
[01:34:39] 然后现在子涵就少了
[01:34:40] 现在现在子涵少少多了
[01:34:42] 然后你看AI给我的这个呃给我还是很好的
[01:34:49] 你看他知道他知道要去诗经里面呃找一个
[01:34:57] 还是
[01:35:01] 还额还是可以的
[01:35:02] 就是他的品味肯定现在模型提升了
[01:35:05] 但是你还是不敢用的
[01:35:06] 为什么呢
[01:35:07] 因为你用DeepSeek起名字
[01:35:10] 别人也用DeepSeek起名字
[01:35:12] 然后你你就会你就会成为一个AI时代的子涵哈
[01:35:16] 这个因为大家都是用DeepSeek起名字
[01:35:18] 然后DIVSK都是起了同样的名字
[01:35:21] 我我的经验是
[01:35:23] 如果你真的需要一个非常low horizon的任务
[01:35:26] 你就需要一个系统性的调研过程
[01:35:29] 跟你们可能做
[01:35:30] 比如说上什么科研实践课
[01:35:32] 学的那一套就就很像了
[01:35:34] 你们进入一个科研领域
[01:35:36] 第一件事情做什么
[01:35:37] 文献调研
[01:35:39] 穷尽解决和这个问题相关的所有的文献
[01:35:43] 这件事情在AI想要快速完成任务的时候
[01:35:47] AI暂时还不会去花这个大代价
[01:35:50] 但是你你可以做名字是可以枚举的
[01:35:54] 你可以先选英
[01:35:57] 然后把不好的音给筛掉
[01:35:59] 选完音你再去用SUBAGENT一个一个去检查字
[01:36:08] 然后你可以给他
[01:36:09] 比如说你喜欢诗经
[01:36:10] 你可以选一个诗经里的你你的词
[01:36:13] 那么你就实现了算力换智力
[01:36:15] 你把一个
[01:36:17] 因为开放问题一个非常大空间里面的开放问题
[01:36:23] 诶你你如果直接让AI去用next token的方式
[01:36:27] 他会给你一个它的偏见带来的这个这个东西
[01:36:31] 但是如果你可以把这个空间分割成很多个destroy的部分
[01:36:37] 然后你的每一个部分就会变成一个有WIFI的更明确的东西
[01:36:42] 你有更多的算力
[01:36:44] 你就有更大的智力呃但这个有一个缺点
[01:36:48] 稍token烧头疼
[01:36:50] 所以呃这就涉及到我对人类社会的一个我觉得很有趣的理解
[01:36:57] 就是世界很大
[01:36:58] 人很小
[01:37:00] 我们人类的品味就每一个人都是不一样的
[01:37:02] 因为我们带来太大的BS
[01:37:05] 我们在不同的城市
[01:37:06] 不同的教育背景
[01:37:08] 生活圈长大的RICHARDSA有一个big world hypothesis
[01:37:11] 我们就是学不到这个世界上所有的东西
[01:37:13] 但就是因为我们带着这个bias s才有这个11大于二
[01:37:21] 我们就是一个最大的群体
[01:37:22] 智能
[01:37:24] 我们在一起实现智能
[01:37:26] 但这会带来一个呃未来的危机
[01:37:29] 我不知道
[01:37:30] 就我先要把这个问题先抛出来呃如果如果这种真正融合来讲
[01:37:35] 就是真正有价值
[01:37:36] 实际上真正有价值的问题
[01:37:37] 可以用算力换智力
[01:37:39] 会可能发生一个什么样残酷的现实呢
[01:37:43] 有一类人可以获得无限的计算资源
[01:37:45] 他就有无限的智力
[01:37:47] 他就可以砌一堵墙
[01:37:49] 在这个墙里面的人有智力
[01:37:51] 是我的朋友
[01:37:52] 在墙外面的人是普通人
[01:37:55] 那么因为假设计算机AI模型比人类的智力更高效
[01:38:01] 那我们外面的人就变成动物园里的猴子
[01:38:03] 就是让他们自生自灭
[01:38:05] 他们也无论如何也不可能赶上里面人产生智力的这个速度
[01:38:10] 那么就墙墙里面是超人
[01:38:12] 墙外面是动物世界
[01:38:13] 呃我们呃大家已经在AI的这个这个关键的基点快要到的时候了
[01:38:20] 我们可能需要思考
[01:38:22] 怎么样防止这件事情嗯到来
