[00:00:00] 好我们继续讲生成式软件工程
[01:19:44] 在设计的时候
[01:19:45] 那大家用的都是自然语言
[01:19:48] 就是一个文档
[01:19:49] 是一个设计文档
[01:19:50] 你们学软件工程
[01:19:51] 我记得我那个时候学软件工程就是写设计文档
[01:19:53] 然后你写先写需求文档
[01:19:55] 需求文档写完写设计文档
[01:19:56] follow那个瀑布的啊模型诶
[01:20:00] 你马上就会想文档的最大缺点是什么
[01:20:05] 最大缺点是写文档的是人人会产生幻觉
[01:20:10] 人会产生type
[01:20:12] 人和人之间
[01:20:13] 当我们讲同一件事的时候
[01:20:15] 是无法对齐的
[01:20:16] 这件事情在你和室友之间已经发生过无数次了
[01:20:19] 你说的是这个室友理解成了那个
[01:20:21] 你花了很多的时间跟他沟通和啊对齐
[01:20:24] 当然我觉得跟比如说跟女朋友对齐
[01:20:26] 会比跟室友对齐更困难哈
[01:20:27] 这个这这个不重要
[01:20:30] 你作为一个软工人
[01:20:33] 你在first principle上
[01:20:34] 如果你想要应用这句话
[01:20:38] 为设计阶段创建一个方法
[01:20:40] 学创建工具去减少返工的概率
[01:20:44] 那你要你要做什么呢
[01:20:46] 你要做的是一个介于自然语言和编程语言
[01:20:50] 之间的一个设计语言
[01:20:53] 当然也是一个domain specific language
[01:20:56] 哎你们想到什么了
[01:20:58] 你们想到了软件工程课上面讲的
[01:20:59] 各种各样的东西
[01:21:01] checklist就这个checklist
[01:21:04] 虽然它是自然语言
[01:21:05] 但实际上它也是一种中间语言
[01:21:08] 因为它有格式的规范
[01:21:09] 它要求你必须是一条一条一条的
[01:21:12] 每一条必须要打勾或者打叉
[01:21:14] 它已经是介于一个自然和形式化
[01:21:16] 它是有语义的
[01:21:17] 它是有一定的语义的
[01:21:18] 这个语义当然是虽然是由人来检查的
[01:21:21] 但人待遇对于勾和叉来说的对齐
[01:21:24] 就比我直接写一个文档的对齐
[01:21:26] 要来的更formal一点
[01:21:28] 所以你看他这个formal的程度
[01:21:30] 就是它有确定性的语义的程度
[01:21:33] 是从设计的阶段到下面越来越formal的
[01:21:39] 这也迎合了
[01:21:40] 从intent到spec到INVENTATION之间的这个gap的解决
[01:21:46] 所以你就开始理解软件工程这个学科了
[01:21:49] 那我们学的时候呢是什么
[01:21:50] 怎么学呢
[01:21:51] 我们是button map的
[01:21:52] 我们是先学编程
[01:21:55] 因为你你所有的你看计算机软件工程
[01:21:57] 你们第一第一件事是先学工程
[01:21:59] 额
[01:22:00] 先先学怎么做一个码农
[01:22:02] 因为你不理解代码
[01:22:04] 你就没有办法理解整个过程
[01:22:07] 但是AI来了以后
[01:22:08] 我觉得变了
[01:22:08] 你可以先从产品经理开始做
[01:22:11] 哎产品完了
[01:22:15] 我脑子卡壳了
[01:22:18] 产品是这个产吗
[01:22:19] 呵啊不是这个哎我我脑子突然卡壳了
[01:22:25] 就product ok
[01:22:28] 短路了
[01:22:29] 我上年纪了
[01:22:32] 但anyway不重要
[01:22:33] 这个你你是可以先先了解这个整个过程的
[01:22:37] 就是我觉得我们软以后肯puter science
[01:22:40] 如果要可能我要来改的话
[01:22:43] 要这个
[01:22:45] 就是产product
[01:22:47] 就第一个学期就可以做
[01:22:49] 因为反正你后面所有的事情都是web
[01:22:52] 然后你不去控制它的质量
[01:22:53] 你也不需要知道
[01:22:55] 如果我上第一门课
[01:22:56] 我不去
[01:22:56] 你不需要控制这个质量
[01:22:57] 因为你你根本就不知道不理解代码
[01:22:59] 不理解后面是怎么运作
[01:23:01] 但你依然可以设计设计好的好的产品
[01:23:04] 你只要有有好的想法就就可以做对
[01:23:08] 然后在这个过程当中
[01:23:09] 其实诞生了很多的有软件工程智慧的方法
[01:23:13] 和和工具
[01:23:15] 比如说这个checklist
[01:23:17] 然后它不仅有checklist
[01:23:18] 还有一些像这种决策表
[01:23:19] 就那种决策树
[01:23:20] 就说他有一个就很很好玩
[01:23:22] 就是就你们有大家觉得我是个理科生
[01:23:26] 我在软件工程学院学软件学院学文科
[01:23:29] 他给我一个checklist
[01:23:31] 说只有当所有的这个勾都打上了
[01:23:35] 你才能进入下一个阶段
[01:23:38] 这这是什么
[01:23:38] 对我来说是nonsense
[01:23:40] 但是这个NSIZE赋予了
[01:23:42] 这这个形式的语义避免了遗漏和矛盾
[01:23:45] 他会要求你
[01:23:47] 他甚至会有这种CHEACTI
[01:23:48] 要求你把所有的文档两两摆在一起审查一遍
[01:23:52] 你会想我靠
[01:23:53] 我才不想做这个事儿
[01:23:54] 我是写程序的
[01:23:55] 但就是这样的这个两两摆在一起检查一遍
[01:23:59] 避免了这个gap的漂移
[01:24:01] 这都是智慧
[01:24:02] 但是他失败过了
[01:24:03] 他失败过
[01:24:04] 然后在管理团队的过程中形成的管理学的经验
[01:24:06] 这个软工人
[01:24:08] 也可以学也可以学好
[01:24:11] 然后还有各种就是比如说在在这个测试上面
[01:24:14] 也有很多经典的工作
[01:24:15] 比如说pick check
[01:24:16] 基本上可算是
[01:24:17] 我们整个测试领域的这个开山鼻祖之一了
[01:24:21] 让人描述性质
[01:24:22] 由工具生成
[01:24:23] 输入寻找反例
[01:24:25] 然后这是什么
[01:24:26] 这体现了一个什么逻辑呢
[01:24:28] 你做任何事都会错
[01:24:30] 你写代码就就你你做任何翻译
[01:24:32] 从上到下的翻译都会错
[01:24:34] 你从specification翻译到代码
[01:24:36] 尤其你有些隐含的SPECIICATION
[01:24:38] 比如说你的这个程序不能crash
[01:24:41] 不要有now pointer
[01:24:42] 资源
[01:24:42] 不能泄露这些隐藏的你代码里面的这些specification
[01:24:45] 你也要遵守
[01:24:46] 那你有没有可能我在代码里面就写一个property
[01:24:52] 然后这个property可以自动变成好多
[01:24:54] 好多的测试用例
[01:24:55] 然后如果全部都通过了
[01:24:57] 我对代码就有更大的信心
[01:24:59] 你你做你现在做的软件就是这样的
[01:25:02] 你你写一份代码
[01:25:03] 你永远不知道它对不对
[01:25:05] 但是如果你做了测试
[01:25:06] 你观察过它的结果
[01:25:08] 你这就对他信心会多一点
[01:25:10] 当你独立做的质量保障做的越多
[01:25:13] 你对他的信心越大
[01:25:15] 除非是你最终写了一个证明秦刷化的证明
[01:25:18] 说证明这个程序你的情形可能是是更大的
[01:25:22] 然后这就是软件工程里面人研究的各种各样的
[01:25:25] 有意思的呃这个啊东西
[01:25:29] 然后再比如说这个需求追踪矩阵
[01:25:32] 我我前面上课的时候讲过一个概念叫TRACABILITY
[01:25:35] 这个是呃软件软件里面很重要的一个概念
[01:25:39] 然后这个traceability做的是什么呢
[01:25:42] 做的就是把这个data defencies graph里面的
[01:25:46] 以前是没有的
[01:25:47] 如果如果你从文件系统或者项目的角度来看
[01:25:52] 这个软件
[01:25:55] 那这个软件就是好多的文件
[01:25:57] 什么杠dogs下的什么什么什么点MD
[01:26:00] 然后source下载一个什么什么点ts
[01:26:03] 然后又有一些其他的什么什么什么东西
[01:26:05] 还有个read me
[01:26:08] 我说这是一个为因为文件系统一开始大家用了
[01:26:11] 而不得不做的一个work around
[01:26:14] 然后这个东西其实承载了这个东西
[01:26:18] 他是这个
[01:26:19] 它承载了整个软件软件
[01:26:21] 而tracer ability要求你要用链接
[01:26:23] 或者用什么文档
[01:26:24] 或者用什么样的方式
[01:26:25] 要求你的每一个代码和每一个需求点
[01:26:29] 都能对得上需求和需求之间也能对得上
[01:26:33] 需求和设计之间也能对得上
[01:26:35] 如果所有这些都能对得上
[01:26:36] 他有这种独立的互相的交叉检验
[01:26:39] 你对你软件的质量就更有信心了哈
[01:26:42] 他也是没办法
[01:26:42] 就是人的能力是有限
[01:26:44] 他假设就你你嗯我们的每一个人
[01:26:47] 我们在上大学的时候学这个软件工程
[01:26:50] 总是觉得我是一个最
[01:26:52] 我我要把自己变成世界上最厉害的码农
[01:26:55] 这个那就够了
[01:26:56] 如果我是世界上最厉害的码农
[01:26:57] 那我就保证能在软件企业里面
[01:26:59] 找到一个很好的工作
[01:27:01] 这是这是这个社会给你的contract
[01:27:03] 然后但是从资本家的角度来看
[01:27:06] 或者说从你要完成一项任务的角度来看
[01:27:10] 他更重要看到的是
[01:27:11] 没有一个码农能够单独完成他的项目
[01:27:15] 他只能说我码农有好有坏
[01:27:18] 我得花多少钱雇多少码农
[01:27:21] 然后最终能把我的项目给交付
[01:27:24] 所以你看现在每一个人都当产品经理
[01:27:26] 你第一门课就要学做产品
[01:27:29] 你你要调动
[01:27:31] 假设你有好多码农了
[01:27:32] 而且你现在马上就有
[01:27:34] DeepSeek算
[01:27:35] 我觉得deep seek绝对算是一个相当资深的码农了
[01:27:40] 绝对不是这种本科毕业生级别的这个
[01:27:42] 那你你马上就就可以有2500并发的底薪
[01:27:46] 你手上有2500人
[01:27:47] 你怎么管
[01:27:49] 你你高中毕业的时候
[01:27:50] 你你做梦都没有想过
[01:27:52] 你刚刚高考完
[01:27:53] 你你接受了高考的这个训练以后
[01:27:55] 你马上就能管2500个人
[01:27:57] 这个mindset可能要要改一改对
[01:28:00] 所以在这个里面
[01:28:01] 就诞生过很多很多好玩的东西
[01:28:03] 比如说呃这些都是呃你们如果上软件工程课
[01:28:09] 可能可能可能会讲哈
[01:28:11] 比如说叫design by contract
[01:28:13] 叫面向契约的
[01:28:14] 契约的编程
[01:28:16] 这里有一个文章我就不打开看了
[01:28:18] 这个呃IFL的这个语言
[01:28:21] 在一应该是1986年左右吧
[01:28:23] 1986年
[01:28:26] 他就说我要把这个霍尔三人组直接写到代码里
[01:28:29] 你看这样的一段上古上古语法就知道了
[01:28:33] 你看他叫function function
[01:28:35] 然后它它那个赋值还有冒号
[01:28:37] 等于就是这个是
[01:28:39] 当然这个一路也沿袭下来
[01:28:41] 有很多语言也采用这个采用了这条线
[01:28:47] 很自然语言
[01:28:48] Function is
[01:28:49] 你在这里写
[01:28:50] 先写文档
[01:28:52] 这个函数是干嘛的
[01:28:54] require它的前置条件
[01:28:58] do这是代码的实现
[01:29:00] ensure做完了以后
[01:29:02] 他能够保证什么
[01:29:04] 他说好
[01:29:05] 你可以先就他鼓励你先不要写这个度流控
[01:29:12] 然后把这个软件的各个模块文档
[01:29:15] pre condition post condition给给给写出来
[01:29:19] 比如说在你有一个呃账户的取款
[01:29:22] 当你在写这个precondition post condition的时候
[01:29:26] 你就会自然的去关联到你的设计
[01:29:29] 比如说余额不足到底应该怎么样处理
[01:29:35] 在你你你如果写第一个MVP的时候
[01:29:37] 你一定不会管这些事
[01:29:38] 你肯定是说说直接让他crash或者怎么
[01:29:40] 你就假设这件事情永远不不会发生
[01:29:43] 排除在你的specification space之外
[01:29:45] 但是当你的软件不断的向后演进的时候
[01:29:48] 那么OK你的这个呃contract就变得非常重要
[01:29:54] 所以他他希望能够在编程语言里引入这个
[01:29:58] 所以你看到这么多年软工人做的事情
[01:30:01] 就是在这个spec上面横跳
[01:30:04] 从自然语言到几个半自然的语言
[01:30:08] 可以可以接纳设计的
[01:30:10] 有一些逻辑公式的语言
[01:30:12] 它可以没有代码单纯的检验这个逻辑
[01:30:15] 比如说函
[01:30:16] 我中间如果要函数调用这个逻辑能不能成立
[01:30:19] 然后到再到现在的这个啊编程语言
[01:30:22] 然后今天其实依然是一个非常活跃的方向
[01:30:24] 而且我觉得软件工程未来会发生很大的变化
[01:30:27] 因为恋爱来了
[01:30:30] 自然语言对不齐的问题解决了
[01:30:32] check list不好检查的问题也解决了
[01:30:35] 我们只剩下这个gap
[01:30:38] 只有是我没有想清楚
[01:30:40] 我没有说清楚
[01:30:41] 一旦我想清楚说清楚
[01:30:43] 可能真的就都能解决了
[01:30:45] 因为我们现在比如说你看像埃菲尔
[01:30:47] 它催生了很多现在的项目
[01:30:49] 比如dafany virus这些呃形式化验证的这个工具
[01:30:54] 你可以就就说大家的梦想
[01:30:58] 大家梦想都是我如果写一个这样的程序
[01:31:02] 我可以自动的证明
[01:31:04] 我的函数在前置条件满足的时候
[01:31:06] 后置条件就会满足
[01:31:07] 无论我写什么就能证明
[01:31:09] 然后而且我还要证明整个系统
[01:31:12] 把所有的前置条件
[01:31:13] 后置条件连起来
[01:31:14] 它就能够满足我的intent intent
[01:31:17] 然后我我我其实在呃chi g p t出来之前
[01:31:21] 我上上操系统课的时候
[01:31:23] 我就预言当时我预言30年
[01:31:24] 说说30年以后
[01:31:27] 那那可能2020年左右的时候
[01:31:29] 还是2022年左右的时候
[01:31:32] 你如果你的一个程序
[01:31:36] 过不了编译
[01:31:38] 说错了
[01:31:38] 如果你一个程序里面有个SERT
[01:31:40] 然后这个search就随便你写的search也可以写
[01:31:42] 这种前置条件
[01:31:43] 后置条件可以写断言
[01:31:44] 就是说我的函数要满足
[01:31:47] 这个link list的左边右边就ENGLIST
[01:31:50] 往左走
[01:31:51] 再往后走
[01:31:51] 或者往后走再往前走
[01:31:53] 这个总之能回到自己
[01:31:55] 然后就写一个
[01:31:56] 然后任何的SERT可以和业务逻辑相关的SERT
[01:31:59] 这个assert只要我写出来
[01:32:02] 它不能证明
[01:32:03] 或者说就是就这个东西是无法证明的
[01:32:06] 这个程序不能编译
[01:32:07] 它
[01:32:08] 编译百分之百保证这个东西才能证明
[01:32:10] 然后这我就
[01:32:12] 这个软件的gap就代码开发的这种
[01:32:15] 我还需要这种property base test吗
[01:32:17] 我不需要
[01:32:17] 我只要直接把这个property写进去
[01:32:19] 他帮我证明了就可以了
[01:32:20] 然后现在从现在来看
[01:32:22] 可能不需要30年
[01:32:22] 可能呃从那个时间点算
[01:32:24] 10年或者15年就可以
[01:32:27] 就可以解决这样的问题了
[01:32:29] 然后在这个过程当中
[01:32:30] 有一个集大成者叫UML
[01:32:34] 大家绕不过去的一个名字
[01:32:35] Unified modeling language
[01:32:37] 他的想法也很简单
[01:32:39] 既然啊这个世界这么复杂
[01:32:42] 在不同的层次上要用不同的语言
[01:32:45] 你实现的时候是C或者java
[01:32:46] 你在设计的时候
[01:32:48] 当然实现的时候也可以用这个IFL
[01:32:50] 也有一些别的专门用来做设计的领域语言
[01:32:53] 然后在做需求的时候是DSR
[01:32:55] 那我们有能不能有一种中间语言
[01:32:57] 统一整个面向对象的世界
[01:33:03] 他要做的是一个非常有野心的事情
[01:33:05] 就是羽翼的对齐
[01:33:07] 而这件事情
[01:33:08] 人类其实是就其实人类天生没有做好的事情
[01:33:13] 因为人类靠自然语言
[01:33:14] 然后自然语言是直接连接大脑的latin space的
[01:33:17] 当我跟你说的时候
[01:33:18] 说呃我还是我那个意思说
[01:33:20] 我今天看到一个美女
[01:33:22] 在我latin space
[01:33:23] 你们在每一个人的latin space里面
[01:33:24] 都构造了一个美女
[01:33:25] 但她都不一样
[01:33:26] 这是对不起的
[01:33:27] 如果你你要要求我们把那个形象3D建模
[01:33:31] blender画出来
[01:33:32] 这就就跟我让这个GPT画一个美女
[01:33:35] 让那个DPPK画一个美女
[01:33:37] 用blender画
[01:33:37] 他们画出来也是不一样的是吧
[01:33:39] 开玩笑
[01:33:41] 但好像那个豆包生成的豆长一样
[01:33:47] 这个语言就是很难对齐的
[01:33:49] 因为语言直连人类大脑的latin space
[01:33:51] 所以人类发明了数学语言
[01:33:54] 数学语言是一个非常好的
[01:33:56] 全人类都能自然对齐的
[01:33:57] 因为我们知道什么是自然数
[01:33:59] 我们是从公理一点一点构造出来的
[01:34:00] 然后那个公理非常小
[01:34:02] 以至于人类还是基本上可以对齐的
[01:34:04] 一旦对齐完成
[01:34:06] 那我们用那个皮亚诺的公理
[01:34:07] 就把整个计算机世界
[01:34:08] 全部都全部都建构建起来了
[01:34:11] 那在计算机上世界里看到同样的东西
[01:34:15] 它的语义是什么
[01:34:16] 就是绝对对齐的
[01:34:17] OKUML想要的是一个非常有野心的目标
[01:34:22] 他想要去对齐那个自然语言世界里面的东西
[01:34:25] 比如说需求设计这些说不清的东西
[01:34:29] 当然你是不可能百分之百对齐的
[01:34:31] 但是他希望把能对齐的部分
[01:34:33] 和不能对齐的部分给剥离出来
[01:34:36] 通过定义模型的元素和它们的语义
[01:34:39] 就有些东西是有语义的
[01:34:40] 比如说你们可能学过IPU
[01:34:42] 就打比方类图
[01:34:43] 那类图的语义就是确定的
[01:34:45] 我有个class叫student
[01:34:47] student里面有一个field叫叫name
[01:34:51] 那它就是student name
[01:34:52] 它可以变成源代码里面的一个东西
[01:34:54] 它是有语义的
[01:34:55] 然后比如说sequence diagram
[01:34:57] 他的这个顺序图里面
[01:34:58] 他说我要从前到后按照某一个顺序时序来执行
[01:35:01] 那这个时序的先后就是绝对对齐的
[01:35:04] 你不需要用自然语言的
[01:35:06] 如果你写就没有ULL你写自然语言先后
[01:35:09] 如果当它发生并发的时候
[01:35:11] 到底谁先谁后
[01:35:12] 能不能并发
[01:35:13] 它就是有歧义的
[01:35:14] 但是UML9
[01:35:19] 消除了这个其在最大程度减少
[01:35:22] 在没有代码时候的这种语义的呃漂移
[01:35:26] 当然我觉得今天我觉得UML已经死了
[01:35:28] 这个就是因为呵
[01:35:31] 就所有他的假设都是
[01:35:33] 我们的自然语言和和形式语言是不能对齐的
[01:35:37] 这是他的假设
[01:35:37] 所以他需要一层一层的中间语言
[01:35:39] 然后今天突然间
[01:35:40] 这个自然语言可以和可以和任何东西对齐的
[01:35:43] 反正AI就可以给你问嘛
[01:35:45] 然后
[01:35:46] 所以UML也S也是一个历史里面的东西了
[01:35:49] 但是这个其实它设计时候的这个
[01:35:52] first principles
[01:35:53] 其实一直都在啊指导我们对
[01:35:58] 所以呃我我也特意重温
[01:36:02] 让这个AI帮我
[01:36:04] 帮我重读了一下这个
[01:36:13] 这个就比较恐怖了
[01:36:14] 这个一个700页的文档
[01:36:20] 就是我我就就你看到我的工具还是可以的
[01:36:22] 就是我我特别做了这个可以scale
[01:36:25] 长的文档
[01:36:26] 几千页的文档也没有
[01:36:27] 也也没有问题
[01:36:29] 这个就跟PDF是差不多的
[01:36:31] 还是有接近的体验的
[01:36:36] 对正好这个KIMI啊我就不做
[01:36:40] 这
[01:36:40] 这可能算一个广告
[01:36:41] 因为他送了我一个699的
[01:36:43] 这个这个一个月的套餐
[01:36:45] 然后呃说说他说看到了我的视频
[01:36:48] 然后然后送了我一个699的套餐
[01:36:50] 然后我就直接让这个呃AI帮我读了
[01:36:55] 就直接让AI帮我读了这个整个u m l spec
[01:36:58] 就是刚才你看到的就就这个dump
[01:37:02] 然后dump完了以后
[01:37:03] 我直接让AI帮我备课
[01:37:05] 直接对着那个
[01:37:07] 我大概我大概让AI这样就是分SUBAGENT
[01:37:10] 然后分CIVISION的每个agent的读50页
[01:37:13] 结果我把一个非常长的文档
[01:37:16] 所以我觉得这是一个非常恐怖的
[01:37:18] 我觉得也是一个蛮蛮可怕的事情
[01:37:20] 就我把这个文档切成切成这样的
[01:37:23] 带overlap
[01:37:24] 因为总会有一点
[01:37:25] 然后我让他每一个都提取里面的软件工程智慧
[01:37:28] 把不符合AI时代的这个不必要的东西
[01:37:32] 就把我的我把我的lecture notes全部给他了
[01:37:34] 然后把它把它拿出来
[01:37:36] 然后总结成课件
[01:37:38] 然后他他就去读
[01:37:39] 然后花了18%的五小时额度
[01:37:42] 大概折算成这个699套餐的五块三
[01:37:46] 所以实际上呃我觉得这是一个
[01:37:50] 嗯值得我们思考的问题
[01:37:53] 就是当你拥有了更好的模型
[01:37:56] 就就我相信比如说你现在如果用GP6
[01:38:00] 可能你的价格会差不多
[01:38:01] 因为它很省
[01:38:02] token GPU的token真的非常省
[01:38:05] 可以得到差不多的
[01:38:08] 价格下可能好得多的质量
[01:38:10] 这就意味着呃学生群体
[01:38:14] 就哪怕你们是学生群体
[01:38:16] 在拥有好的模型和没有好的模型的时候
[01:38:18] 你们的学习效率
[01:38:20] 学习成本也会有很大的差距
[01:38:22] 然后你你的学习就成为了一个就如果还好
[01:38:25] 现在token可能也不算太贵
[01:38:26] 就如果你有一个呃100刀的这个codex
[01:38:30] 其实我觉得还算是够用了
[01:38:32] 这个对对对
[01:38:33] 大家学习来说
[01:38:34] 因为因为什么东西烧token呢
[01:38:36] 你去维护大项目
[01:38:37] 烧token大项目
[01:38:38] 它你就会在大上下文里载入很多东西
[01:38:41] 然后你100万上下文马上就填满了
[01:38:42] 然后那就那那个很很费头亏
[01:38:44] 然后但是你你现在如果你是一个学习流程的话
[01:38:47] 你其实上下文你不会
[01:38:48] 你不会像我这样去干干这个
[01:38:51] 把整个u m spec都放进来
[01:38:53] 你可以用这个digested version
[01:38:55] 然后呃呃但这个值得我们思考的是
[01:38:58] 我们以后还学得起
[01:38:59] 学不起来
[01:39:00] 这真的是一个就非常现实的现实的问题
[01:39:03] 因为如果让所有人都评教育平权
[01:39:05] 那我们没有那么多算力
[01:39:07] 没有那么多资源
[01:39:08] 那怎么办
[01:39:09] we don't know
[01:39:10] 这个这可能是一个社会性的呃社会性的问题
[01:39:14] 但anyway
[01:39:15] 这是这是UML这这他总结的一些呃UMR
[01:39:19] 但是呃一句话
[01:39:23] 796页的spec从头到尾回答一个问题
[01:39:26] 哪些intention必须定死
[01:39:28] 哪些流感
[01:39:29] 它构造了一个形式语言
[01:39:31] 半形式的语言去告诉你
[01:39:33] 哪些东西可以确就是可以在语义上确定下来
[01:39:37] 哪些可以不用他做解决的
[01:39:40] 就是对齐的问题
[01:39:42] 人和人之间
[01:39:43] 你甚至和下一时刻的自己
[01:39:45] 你不deterministic
[01:39:46] 你今天想的和明天想的就不一样
[01:39:48] 所以你跟你自己对不起
[01:39:50] 那有趣的东西
[01:39:53] 你可以自己
[01:39:53] 大家自可以自己回去看一下这个呃slides好
[01:39:58] 那今天下课
