[00:00:00] 好的在前几次课的时候
[01:23:29] 就一个二重循环人
[01:23:31] 打一个星号
[01:23:31] 打一个三角形
[01:23:32] 你不就很开心吗
[01:23:34] 然后我现在一样的
[01:23:36] 你你学Python了
[01:23:37] 然后你你什么都你就可以3D打印了
[01:23:39] 这是一个3D打印的程序
[01:23:40] 你再叠叠块
[01:23:41] 你可以你可以叠
[01:23:41] 可以挖人
[01:23:42] 就创造了一整个呃整个世界
[01:23:46] 然后剩下所有东西都是直接AI is lap
[01:23:51] 我管都没有管
[01:23:51] 程序也没有管
[01:23:52] 比如说fim ni number的递归
[01:23:56] the flash number递归
[01:23:57] 然后uh in certain salt
[01:24:02] 呃我回到头上开始播放
[01:24:05] 插入排序是怎么样一个一个比较的
[01:24:09] 然后然后你看到就太容易了
[01:24:12] 当我当然我我是有一个skill可以把它编译
[01:24:15] 就是我有一个编译的scale
[01:24:17] 可以把它编译成
[01:24:18] 把任何一个你想要的东西
[01:24:19] 编译成一个这个在在模型的这个呃能力下
[01:24:25] 我还试了这个dsk flash division的版本
[01:24:28] 它就国产的模型
[01:24:30] 便宜的模型就可以出出课件
[01:24:33] 反正我觉得效果已经达到一个
[01:24:35] 完全可用的呃状态
[01:24:37] 然后我就可以去挣钱了
[01:24:38] 对吧嗯嗯在今天你们真正有价值的品质
[01:24:43] 就是你们愿意去花一点时间学习
[01:24:47] 然后你很快就会发现在求职的市场上面
[01:24:51] 把细节做好的这个bar不断的会提高
[01:24:54] 因为一旦只要有人学会了
[01:24:56] 招人的单位就会用这个标准来衡量你
[01:24:59] 那么你想我在面对一个研究生的时候
[01:25:02] 问他
[01:25:03] 问他git merge了以后会发生什么
[01:25:05] 他没有任何的概念
[01:25:07] 和一个在你们每一学每一个专业课
[01:25:11] 你学每一个算法学每一个细节的时候
[01:25:13] 你都在AI的指导下帮你巩固了这个概念
[01:25:17] 真正消化了这个概念
[01:25:18] 你可以从零开始构建这些概念的时候
[01:25:22] 这两个人他们在这个job market上面的竞争力
[01:25:25] 当然我觉得可能还有一件事情会发生
[01:25:27] 就是就反正AI太强了
[01:25:28] 所有的人都没有竞争力了
[01:25:30] 那也许这是这是这是最好的
[01:25:33] 就这可能是最好的状态
[01:25:34] 否则你想一想你们的危机感
[01:25:36] 这个世界上有很多那样的人
[01:25:38] 然后你们你们如果不成为那样的人
[01:25:41] 你上了这个教market
[01:25:43] 你就你就死了
[01:25:45] 所以所以我觉得上课耽误学习是真实存在的
[01:25:47] 因为你们的很多老师
[01:25:49] 真正好的东西打开都没有打开过
[01:25:51] 那些真正好代码
[01:25:52] 真正好的项目
[01:25:53] 符合工程规范的项目
[01:25:54] 它对着对着那个课本
[01:25:57] 他就对着那个课本讲一遍
[01:25:58] 和今天你看到的这个AI直出的东西
[01:26:03] 就刚才那个整个的框架
[01:26:05] 我大概我就是两天的碎片时间就全部完成了
[01:26:08] 包括视觉效果的调整就就就完成了
[01:26:11] 就没有任何的成本
[01:26:13] 做这些事情已经没有任何的呃成本
[01:26:16] 呃对
[01:26:18] 所以我我我说我马上就要淘汰了
[01:26:20] 我自己学习的时间是非常有限的
[01:26:22] 我我很想学很多东西
[01:26:23] 但是我不像你们那么多
[01:26:25] 有有那么多时间
[01:26:27] 大概是大概是这样的
[01:26:29] 对我们讲了一个
[01:26:32] 然后其实所以今天讲的
[01:26:34] 虽然我好像在讲git
[01:26:36] 其实我讲的是best practice
[01:26:38] 这里面的best practice还有好多
[01:26:40] 比如说刚才你如果有注意力
[01:26:43] 会注意到AI给了我们一些
[01:26:52] 其实AI还是挺slop的
[01:26:53] 我我你看前面的commit message都是英文
[01:26:58] 都是一行加上一个详细解释
[01:27:02] 然后你看这这样AI它就开始自由发挥
[01:27:05] 他开始混了英文和和中文了
[01:27:07] 但还是还好
[01:27:08] 他还是遵循了这样的一个有些有scope
[01:27:12] 我干了什么
[01:27:14] 然后一个总结
[01:27:17] 再有message body这样的
[01:27:20] 这个呃格式你们看到很多就知道这个东西存在
[01:27:24] 它提上是有标准的
[01:27:26] 在今天你已经可以找到这样的叫conventional commits
[01:27:31] Conversion comm
[01:27:31] 他告诉你这个文档很短
[01:27:34] 这个SPECIICATION
[01:27:38] Commits must be prefixed by waa
[01:27:41] type是一个NN
[01:27:44] 包括feature
[01:27:44] 我如果我要引入一个feature
[01:27:46] 我要fix一个一个bug
[01:27:48] 要一个冒号
[01:27:49] 一定要有一个空格对
[01:27:52] 这些都是规范
[01:27:53] 然后有的时候就比如说
[01:27:55] 我我和同学合作的时候
[01:27:58] 高血压时间还是比较多的
[01:27:59] 比如说呃如果文档一般来讲
[01:28:02] 比如markdown的文档
[01:28:03] 英文和中文之间要有一个空格
[01:28:07] 这是
[01:28:10] 我不知道什么时候大家开始用这个convention
[01:28:12] 但是好像大家都会用这个安神
[01:28:16] 比如说你好
[01:28:17] 这是hello点C就这对我来说这是肌肉记忆
[01:28:21] 但如果我看到就是我
[01:28:24] 我最难受的是一个文档里面有一些是这样
[01:28:30] 你们注意力就是你你们注意到了吗
[01:28:34] 当我的就我我看到这个时候
[01:28:36] 我就是浑身难受
[01:28:37] 就你就你你哪怕这样
[01:28:39] 我都会认为好像你是在遵循某一种convention
[01:28:42] 你你是保持一致的
[01:28:44] 但是但是如果你不一致的话
[01:28:45] 呃啊anyway
[01:28:48] 我我真的是有点呃呃有点头大
[01:28:51] 这里有很多
[01:28:52] 所以AI会把这些细节给做好
[01:28:54] 而这些工程细节其实都是为了
[01:28:58] 都是为了工程师在面对更大项目的时候
[01:29:02] 他有一种一致性和呃和规范没有
[01:29:06] 就是就是它是一种
[01:29:07] 比如说你的代码要以同样的方式排版
[01:29:11] 很自然的你的文档也要以同样的方式排版
[01:29:14] 这样的一个呃你人维护起来会更好
[01:29:19] 虽然我觉得在AI时代
[01:29:20] 可能也好像也也也不重要
[01:29:22] AI都会帮你
[01:29:23] 帮你解决
[01:29:24] 所以所以AI哎我还是很喜欢的
[01:29:25] 他
[01:29:27] 所有用AI的学生都不会生成那样的slob
[01:29:30] 至少对至少不会生成那样的那样的扫
[01:29:33] 然后这里还有很多很多的best practice
[01:29:36] 比如说啊你可以在网上找到各种uh commit
[01:29:42] Often
[01:29:43] perfect leader published ones
[01:29:46] 这里有有很多
[01:29:47] 这些其实都是有呃工程实践的呃经验的
[01:29:52] 你们啊回去对
[01:29:55] 回去读一下这些这些文档
[01:29:56] 让让AI帮你
[01:29:58] 你就会学到
[01:29:59] 学到更多
[01:30:01] 比如说为什么要及时commit
[01:30:03] 是因为在复杂的项目里面
[01:30:07] 随着你修改的东西越多
[01:30:09] 你错的东西就越可能多
[01:30:11] 你在小项目刚开始的时候其实不要紧
[01:30:13] 你一次提交个两三千行代码都OK
[01:30:15] 但是一旦这个项目里面有错综复杂的关系以后
[01:30:19] 你的一个大的commit可能会break
[01:30:22] 这个项目里面多处的东西引入多个bug
[01:30:25] 后面再要引入多个fix来fix它
[01:30:27] 那这时候你有一个很大的commit
[01:30:30] 比如V2
[01:30:30] 你有一个1万行的commit
[01:30:32] 然后后面你修了100个bug
[01:30:33] 你都说这是V2产生的
[01:30:35] 这就很糟糕
[01:30:37] 甚至修不过来
[01:30:37] 你你也不知道V2修好没有
[01:30:39] 而如果你每一次的commit都是很小的
[01:30:41] 都只做一个修改
[01:30:43] 那冤有头债有主
[01:30:44] 你这个bug就是你写的好
[01:30:46] 我修完了也就修完了
[01:30:47] 这两个commit是可以配对的
[01:30:48] 他给了我们审计对吧的能力
[01:30:52] 也给我们呃一些
[01:30:54] 比如说呃你改了很多
[01:30:56] 然后不小心真的你的自己的电脑就损坏了
[01:30:59] 物理损坏了
[01:31:00] 那你还没有来得及推到远端
[01:31:02] 你做一个小的提交
[01:31:04] 立即push
[01:31:05] 那么你就可以得到一个互联网上的备份
[01:31:10] 你的电脑马上坏了也好
[01:31:14] 这个AI是很清楚
[01:31:16] 他知道你可以review review
[01:31:17] 可以revert
[01:31:18] 可以把SE2分查找
[01:31:19] 刚才啊刚才找到的
[01:31:21] 然后还有一些
[01:31:22] 我后面可能会讲
[01:31:23] 比如说hooks和CI
[01:31:25] 然后这样的
[01:31:30] 以及以及你们如果还有惊人的注意力
[01:31:35] 应该观察过
[01:31:37] 就就你们的项目可能托管在GITHUB或者GITHUB上
[01:31:40] 那么你会看到你的AI agent
[01:31:45] 会试图调用一些GH或者g lab的命令
[01:31:49] 然后他会你会看到一个什么component的fund
[01:31:51] 然后他又回退到古法编程
[01:31:53] 又开始写写写git的命令
[01:31:56] 是因为GITHUB有有完整的这个
[01:31:59] 就GITHUB实在是太popular了
[01:32:01] 它太好用了
[01:32:02] 那么呃我就值得做一个命令行工具
[01:32:07] 把NGET的部分就git管理了好多代码的快照
[01:32:11] 但是GITHUB上还有issue
[01:32:13] 我今天可以发一个文本
[01:32:15] 我还可以对你的代码做comments
[01:32:17] 然后这些东西都是不随着这个git的处
[01:32:20] 做persistence的
[01:32:22] 那么如果我们想要管理它
[01:32:24] 做一个命令行工具
[01:32:25] 我可以去fetch一个issue
[01:32:27] 然后可以找assign给我的issue
[01:32:29] 你要登录
[01:32:29] 然后找到assn给我issue以后
[01:32:31] 我还可以把这个e sue close了
[01:32:33] 诶
[01:32:34] 那这个命令行工具对A卷来说就很好用
[01:32:36] 它可以你装了GH以后
[01:32:39] 我就可以在agent里面设置一个go
[01:32:42] 说给我完成一个什么很长
[01:32:44] 可以设置一个很长的任务
[01:32:46] 我会要求他做小步的提交
[01:32:49] 做
[01:32:52] 可以审计的提交
[01:32:53] 然后怎么分支的规则
[01:32:54] 线性的历史或者等等额
[01:32:57] 然后你可以看到我的
[01:32:58] 比如说我的这个这个项目
[01:33:06] 就有大量的这个你看
[01:33:09] 有些人对
[01:33:10] 从我开始登代码开始
[01:33:12] 就大量的这样的这样的提交
[01:33:16] 然后我我很多时候都都都不管不管他们对
[01:33:21] 都都不管他们了啊好
[01:33:27] 讲了很多
[01:33:27] Get it
[01:33:30] 其实这门课讲的还是软件工程
[01:33:33] 所以啊最后这一小段总结是今天更更重要的
[01:33:38] 具体本质上是一个软件
[01:33:39] 它说我们要把项目组织成用atomic change推进的快照
[01:33:45] 这是你们今天要记住的记住的事情
[01:33:47] 然后所有的一切都是从这句话里面推出来的
[01:33:50] 你们组织一个软件的项目
[01:33:53] 你要管理很多的快照
[01:33:55] 这样就可以随时开启一个新的分支
[01:33:59] 做一些尝试
[01:34:00] 如果失败了
[01:34:01] 你就可以把它安全的扔掉
[01:34:03] 如果成功了
[01:34:03] 你就可以把它合并进来
[01:34:05] 然后你甚至可以同时推进多多个主线
[01:34:07] 然后以合并的方式让它完成
[01:34:09] 而不会互相干扰
[01:34:10] 因为如果你们呃做大作业
[01:34:14] 自己是古法
[01:34:14] 做大作业肯定有这个感受
[01:34:16] 你如果要改好几个地方的时候
[01:34:18] 改着改着很可能就改乱了
[01:34:19] 你跟你跟这个这个部分和那个部分冲突
[01:34:23] 这个部分和那个部分冲突对
[01:34:24] 所以咳咳咳
[01:34:27] 项目管理的本质是人类没有办法处理一团混沌
[01:34:33] 很多需求
[01:34:34] 很多代码依次做一大波
[01:34:37] 所以很自然的我们要把需求分解成可以理解
[01:34:41] 可以审计的小任务
[01:34:43] 一小步一小步来
[01:34:44] 然后这样出了问题
[01:34:45] 你就可以by sect
[01:34:46] 可以blame协作的时候
[01:34:48] 可以blame发生冲突
[01:34:49] 也容易解决
[01:34:50] 两个小任务发生冲突
[01:34:51] 甚至比如说我
[01:34:53] 我有可能是在在这样的一个公共的祖先上面
[01:34:57] 我可以做了好多事
[01:34:59] 我可以做好多事
[01:35:00] 如果每一个都很小
[01:35:03] 那么如果发生了冲突
[01:35:05] 可能我能知道哪一个小的提交是冲突的
[01:35:09] 那么剩下的不冲突的部分
[01:35:12] 它们合并起来可能会比较容易
[01:35:14] 可能会比较容易
[01:35:17] 然后包括有些项目会要求linear history
[01:35:19] 我们做可能更严肃的项目时
[01:35:21] 也会要求所有所有的main
[01:35:23] 就是我们的我们的合并合并可以是合并
[01:35:27] 可以是比如说我这样了
[01:35:29] 然后我把我把这个提交合上来
[01:35:31] 这样就像刚才我们看到的一样
[01:35:33] 我的一个commit可以有两个判人
[01:35:37] 有两有两个祖先
[01:35:39] 然后当然他可能又继续是可能继续又分开
[01:35:42] 又分叉又合并
[01:35:43] 然后最后会变成一个啊很很很典型的git的结构
[01:35:48] 但是现在好像大家更流行一个linear history
[01:35:51] 因为反正都是AI
[01:35:53] 反正他resolve他REBASE都很容易
[01:35:56] 我就强行要求我的整个committer history都是线性的
[01:36:00] 好像是线性的一样
[01:36:02] 当然这个也不完全是呃所有的都是好处
[01:36:06] 但至少对于呃现在我们维护项目来说
[01:36:10] 它会让历史更易于追溯
[01:36:12] 而且他对cherry pec和blame也呃也也更友好
[01:36:16] 在无限大能力的模型到来之前
[01:36:19] 那么这个这件事情都是都是好的
[01:36:21] 你把git记录拆分的非常好
[01:36:24] 你很容易的找到这次修改是由谁谁引入的
[01:36:27] 那么呃AI维护项目的效率也会高
[01:36:31] 也会省token1些
[01:36:32] 但有些文件它就可以不用去
[01:36:34] 不用去赌了
[01:36:35] 然后我还有一些呃经验可以跟大家呃分享
[01:36:40] 比如说我们怎么就
[01:36:43] 虽然我们知道是要小步向前进
[01:36:45] 我们怎么管理一个项目呢
[01:36:47] 我会在架构设计的阶段
[01:36:49] 先用单线程
[01:36:50] 用一个智力比较高的模型跟他讨论
[01:36:53] 这个其实很重要
[01:36:55] 呃因为如果你的软件设计的不好
[01:36:58] 你后面就是无穷的迭代的
[01:37:01] 我在第一次课的时候
[01:37:01] 其实就给大家展示了这个
[01:37:03] 这个例子我会把组件库的接口定的非常好
[01:37:07] 我嗯我可以给大家看一下
[01:37:11] 找一个例子
[01:37:22] 就是我为什么这么信任
[01:37:24] 为什么这么信任AI的代码呢
[01:37:27] 看起来我这里就这个项目里面有很多
[01:37:36] 互相关联的组件
[01:37:38] 我们的程序会产生会运行产生结果
[01:37:42] 然后我拖动这个进度条
[01:37:45] 它不仅要关联到我的程序的编辑器
[01:37:48] 还要关联到这个这个这个上面
[01:37:51] 然后但我把绝大部分的接口都设置成了functional de
[01:37:56] 就是pure function
[01:37:57] 包括我的我的trace是程序的一个pure function
[01:38:01] 然后大概我有一个标准的这个程序的
[01:38:04] 这个DERVISION的graph
[01:38:06] 我说我你要按照这种方式来展开
[01:38:08] 然后所有的这个呃就全局互相影响的状态
[01:38:13] 我都要注册到一个全局的地方
[01:38:15] 然后这个全局的状态
[01:38:17] 比如说我光标的位置
[01:38:18] 光标的位置可能会怎么样影响这个可视化
[01:38:21] 全部都包括这个菜单条
[01:38:23] 这个非常干净非常小的状态
[01:38:25] 然后所以你看到的一个这样的一个playground
[01:38:27] 基本上呃核心的共享状态也就只有十几行
[01:38:32] 十几行的共享状态
[01:38:34] 然后一个十几行的组装
[01:38:36] 然后剩下所有东西都是黑盒子
[01:38:39] 我都要求他
[01:38:40] 我就直接会要求agent在设计这些visualization的时候
[01:38:43] 禁止看任何库函数的实现
[01:38:45] 只只看接口
[01:38:46] 所以他的费产其实非常省
[01:38:48] 上下了
[01:38:49] 就几万个token就可以做一个
[01:38:52] 做一个这样的
[01:38:54] 做这样的play广
[01:38:55] 然后一旦这样的架构设计完成了以后
[01:38:58] 我就会开三个这个或者开几个terminal
[01:39:03] 然后我要求他我的agent点MD
[01:39:06] 有一个明确的协作规则
[01:39:08] 我看看在不在
[01:39:11] 可能改过一些对内阵
[01:39:14] 对我有一些呃协作规则
[01:39:18] 比如说我让他不需要开调用视觉
[01:39:20] 视觉视觉模型去检查AH很喜欢做这件事
[01:39:22] 然后花很多的很多token
[01:39:24] 然后我也不调用浏览器任务
[01:39:26] 我在边上放一个另外一块屏上放一个浏览器
[01:39:28] 那它是及时刷新的
[01:39:30] 其实发现的
[01:39:31] 然后我就我就开始开三个agent的
[01:39:34] 哪里不满意就骂他
[01:39:36] 然后你就可以肉眼看着右边那个东西
[01:39:38] 不定的变好变好变好变好变好
[01:39:39] 最后呃问题就问题就就就解决了
[01:39:43] 这是一个agent的能力之内的项目
[01:39:45] 然后我非常确信的是
[01:39:47] 会agent能力会不断的增长
[01:39:49] 然后越来越多的项目能够被agent
[01:39:52] 以这样的方式就是一个比较轻量的讨论
[01:39:55] 然后剩下剩下完成
[01:39:58] 这是一个非常可怕的事情
[01:40:00] 就是如果agent快了1000倍
[01:40:04] 我们还怎么样管理这个版本控制
[01:40:09] 我们可以下一节课再来再来讨论好
[01:40:11] 今天下课
