[00:00:00] 上一节课的时候给大家讲了多处理器编程
[01:14:46] 你也不想进入内核
[01:14:47] 而这就麻烦了
[01:14:48] 这这个是
[01:14:50] 这个是是非常啊非常麻烦的
[01:14:53] 但它实现的就是在一个呃没有锁不拥挤
[01:14:58] 没有两个人抢锁的时候
[01:15:00] 我可以不进入内核
[01:15:01] 完成所有的所所有的同步
[01:15:04] 这个比较复杂
[01:15:05] 但是我们暂时不需要知道这个细节
[01:15:08] 但我们可以知道的是
[01:15:10] 我们可以对比不同的求和方式
[01:15:12] 它们的区别
[01:15:13] 所以我今天的最后一个呃例子
[01:15:16] 我觉得比较啊是是我非常喜欢的
[01:15:19] 喜欢的一个例子
[01:15:21] 我们可以可以写这样的一份代码
[01:15:24] 如果啊如果今天我讲了很多个实现互斥的方法
[01:15:28] 包括这个exchange
[01:15:30] 包括exchange
[01:15:30] 包括我们说操作系统给我们的库函数
[01:15:33] 就有一个叫MUTEX
[01:15:34] 然后有MUTX的lock和MUTX的
[01:15:37] unlock
[01:15:38] 以及我们还说还可以内核里面有个叫PHICSX
[01:15:42] 到底谁好谁坏
[01:15:44] 到底什么时候好
[01:15:45] 什么时候坏
[01:15:46] 其实你们完全是可以做一个实验来知道的
[01:15:51] 而且现在今天在有AI agent的时候
[01:15:54] 你们做实验会比以前做实验要前所未有的
[01:15:59] 简单我就做了这样的一个程序
[01:16:01] 这样的一个程序
[01:16:03] 我我希望的是做N次
[01:16:04] 一共有N次
[01:16:05] 一共做N次
[01:16:06] 你们可以自己去干定
[01:16:08] 一共可以做N次
[01:16:10] 萨姆加加
[01:16:11] 当然我会把这N次分配到七个进程里
[01:16:16] 然后这个T是在我的呃命令行里面输进去的
[01:16:21] 就这个
[01:16:22] 然后我可以用把这个main和好几个
[01:16:24] 好几个实际的实现连接起来
[01:16:27] 包括原子指令
[01:16:29] 但我可以做sum加一
[01:16:30] 在X8的里面就是一条lock的ADD
[01:16:33] 但在arm上我会有一个不太一样的机制
[01:16:36] 来实现原子的加一
[01:16:38] 还有一个是MUTX
[01:16:40] 我甚至直接掉了这个peace read mutex
[01:16:42] 但这个实现跟我的线程库里面的那个mutex lock
[01:16:45] 是一样的
[01:16:46] 然后我有一个刚才的spin lock
[01:16:48] spin这种不停的不停的exchange的
[01:16:51] spin lock
[01:16:52] 这个spring log刚才我们已经看过他的实现了
[01:16:55] 是一个啊exchange
[01:16:57] 然后还有我让AI帮我web code了
[01:17:00] 一个每一次都进入系统调用的FTX
[01:17:03] 你们有没有想过还可以做这件事吧
[01:17:05] 就我可以强制每一次
[01:17:08] 每一次我acquire和release上锁和解锁
[01:17:13] 我都用FTX这个系统在用强制进入内核
[01:17:16] 看一看到底他们有多快
[01:17:19] 有有多慢
[01:17:20] 那么我们可以做的是什么呢
[01:17:23] 你真的就只需要一个prompt就行了
[01:17:25] 我我今天做这个就是真的只用了一个
[01:17:28] 一个一个prompt
[01:17:30] 你们要能想到这一点
[01:17:31] 这是一个我觉得做系统
[01:17:35] 不仅是做系统
[01:17:35] 你做任何东西都很重要的
[01:17:37] 一个叫做量化的研究研究方法
[01:17:40] 你你不知道你你你现在学到一些知识
[01:17:43] 你不知道发生了什么
[01:17:44] 但是你根据你的线索
[01:17:46] 你比如说上课讲诶会有什么一核有难
[01:17:49] 八核围观它们的性能
[01:17:51] 你们会觉得性能应该是不一样的
[01:17:53] 如果你觉得它们的性能应该是不一样的
[01:17:54] 你就能够准确地度量性能的变化和差异
[01:17:58] 所以我就给了这样的一个prompt
[01:17:59] 他说我们希望对比这些实现
[01:18:02] 做一个控制变量的对比实验
[01:18:05] 我们控制什么变量呢
[01:18:06] 我们控制总的sum加加的次数不变
[01:18:08] 但是我要把它们分布在一个两个
[01:18:10] 四个八个16个线程
[01:18:12] 分别为三种实验
[01:18:13] 重复五次
[01:18:15] 一定要做能重能复现的实验
[01:18:17] 千万不要做这种
[01:18:19] Cherry picking
[01:18:20] 你你你可以做1万次实验
[01:18:21] 然后把实验最好的那一次拿出来
[01:18:23] 然后就别人没有没有没有人能够比得过你了哈
[01:18:27] 嗯然后我们希望统计一次SAM加加的平均时间
[01:18:31] 然后保存原始数据列表CSV
[01:18:33] 然后生成一个带error bar的plot
[01:18:35] 当然我后来我换了一个prom
[01:18:37] 所以呃这个aa pro prt没有
[01:18:40] 但至少他给我写了一个做实验的脚本
[01:18:42] 我完全你完全不需要知道呃怎么写脚本
[01:18:47] 你只需要知道你确实需要一个科学的
[01:18:50] 定量的对比
[01:18:51] 你就可以
[01:18:53] 就可以看到有趣的results
[01:18:56] 然后results在这他收集了这个实验的呃原始结果
[01:19:02] 并且把它画成了图
[01:19:04] 画成图
[01:19:05] 在这里我这有两张图
[01:19:08] 一个是每一个operation
[01:19:12] 相当于每一次sum加加所需要的
[01:19:14] 所需要的平均时间纳秒
[01:19:17] 还有一个图是把它做一个倒数
[01:19:19] 相当于一秒钟能执行多少次上加加
[01:19:22] 那这个图有没有符不符合你们的预期呢
[01:19:25] 你们发现一个线程的时候
[01:19:28] 是运所有在所有的程序执行同样多的SAM加
[01:19:33] 加一个线程的时候
[01:19:35] 执行一次SAM加加速度是最快的
[01:19:37] 不管你是用陷入操作系统内核的
[01:19:40] 还是呃这个用自旋的
[01:19:43] 还是用mutt的
[01:19:44] 还是用atomic的
[01:19:46] 然后你发现陷入内核一次system call
[01:19:50] 他的代价是远远高于其他的好
[01:19:55] 你马上就学到了
[01:19:56] 就你看你你之前假设没有任何概念
[01:19:58] 你只是听我上课就讲了那几个东西
[01:20:01] 你只要几个prompt就可以做一个实验
[01:20:03] 你知道
[01:20:04] 进入操作系统内核是有额外的代价的
[01:20:06] 所以你还是希望每一次系统来用
[01:20:08] 比如说read
[01:20:09] 你可以读出尽可能多的数据
[01:20:10] 或者哪怕如果比如说这个read
[01:20:12] 是从别的远的地方读数据
[01:20:13] 还要等一等
[01:20:14] 那这个时间就很快就抵消掉了
[01:20:16] 他有个几百纳秒的
[01:20:18] 只要在我这个上面
[01:20:19] 在你们的X86上应该会更快一些
[01:20:21] 有几百纳秒的
[01:20:22] 需要几百纳秒的时间
[01:20:24] 而如果你只是
[01:20:28] 只是在这里一个线程
[01:20:30] 它真的只要几纳秒的时间
[01:20:32] 几纳秒是几纳秒的时间
[01:20:34] 就可以做一次SAM加载
[01:20:36] 但是一旦你开始进入两个线程了
[01:20:41] 两个三个四个
[01:20:42] 他们的表现就很不一样了
[01:20:44] 这个曲线呃叫SCALABILITY
[01:20:48] 就叫它在多处理器上面的
[01:20:51] 扩展性
[01:20:52] 随着处理器数量的增加
[01:20:54] 你会发现树莓派一共有四个
[01:20:57] 四个处理器
[01:20:59] 四个处理器
[01:21:00] 那么你看到在四的时候
[01:21:02] 从1~2到四的时候
[01:21:05] 无论你是用原子指令还是用MUTEX还是用atomic
[01:21:09] 从2~4
[01:21:10] 它的差距都不是很大
[01:21:12] 但是但是当我们的线程数
[01:21:16] 超过处理器的数量的时候
[01:21:19] 你看到MUTEX和atomic
[01:21:22] 这两个性能几乎基本上没有显著的下降
[01:21:26] 但是spin它的性能下降非常显著
[01:21:32] 就是会出现刚才我说的那种
[01:21:34] 如果我持有在spin的时候
[01:21:37] 我被切换
[01:21:39] 我持有锁的时候被切换到另外的线程执行
[01:21:43] 那我就相当于是所有的线程在CPU上运行的线程
[01:21:46] 都浪费了算力
[01:21:47] 所以你可以观察到观察到这个绿色的现象
[01:21:50] 我们可以看另外一张图
[01:21:53] Operations per second
[01:21:55] 你每秒钟能够执行多少
[01:21:57] 你还是可以看到
[01:21:59] 如果你只是想做一个sum加加的话
[01:22:01] 那么用原子指令是性能最好的
[01:22:06] 和刚才一样
[01:22:07] 然后MUTEX和spin其实有差距
[01:22:11] 有差距
[01:22:12] MUTX的在这看到看得更清楚
[01:22:16] 它的SCALABILITY更好
[01:22:17] 也就是操作系统
[01:22:18] 你看它的它的实现基本上随着线程的增加
[01:22:22] 还是一条直线
[01:22:25] 然后呃trap的性能很差
[01:22:26] 如果你每次都进入系统内容
[01:22:28] 所以这是一种对待数据的呃科学的方法
[01:22:33] 你你在任何呃任何时候总是可以做很多的
[01:22:38] 对比实验
[01:22:39] 然后去清楚的了解一个系统到底发生了什么
[01:22:42] 然后在这里
[01:22:43] 因为你们呃未来很有可能会走上要做一点
[01:22:47] 科研的道路
[01:22:48] 我郑重的要求每一个同学
[01:22:51] 在做实验之前都要再阅读一一遍
[01:22:55] 这个system benchmarking crimes
[01:22:57] 好呃这里有很多很多crime
[01:23:00] 很多crime虽然它是从体系结构的视角来来讲的
[01:23:05] 比如说他这这里列举了一种crime叫selective data
[01:23:10] Set hiding deficiencies
[01:23:13] 这个这个图像跟我们刚才那个图像还挺像的
[01:23:16] 它呃刚才啊因为我们的呃锁是不SCALLOL的
[01:23:21] 最好的SCALABILITY就是线性的SCALABILITY
[01:23:24] 因为我的MUTEX
[01:23:26] lock和lock之间的区域是不能并行的
[01:23:29] 所以你你你可以预期刚才那个是正确的
[01:23:32] 没有两个两个线程
[01:23:34] 三个线程
[01:23:34] 四个线程是不可能跑过一个线程的速度的
[01:23:37] 因为你你你还要再来回线程之间切换切换
[01:23:40] 切换切换
[01:23:41] 我在一个县城里面把所有的事情执行完
[01:23:42] 一定是最快的
[01:23:43] 而这个不一样
[01:23:45] 这个是一个多线程的服务器
[01:23:47] 所以它随着这个线程线程的增加诶
[01:23:53] 它能够每每秒钟能够处理的数据量
[01:23:56] 也也也增加了
[01:23:57] 就相当于
[01:23:58] 如果我刚才那几个程序上的是不同的锁
[01:24:01] 每一个县城上的不同的锁
[01:24:03] 那么呃而且处理是分开的
[01:24:06] 比如说呃几个分开的数sum
[01:24:09] 然后最后再把sum汇总起来
[01:24:11] 那你可以看到类似的曲线
[01:24:13] 你呃我随着线程的增加
[01:24:15] 我能够每秒钟完成的SAM的次数就增加了
[01:24:19] 这是一个好的结果
[01:24:20] 但实际上实际上
[01:24:23] 这是一个有SKELEVITY问题的程序
[01:24:25] 它随着就有点像我们刚才那个spring lock
[01:24:28] smart随着你的线程数量超过CPU的数量的时候
[01:24:32] 它的性能会急剧的下降
[01:24:34] 在线程CPU
[01:24:36] 在CPU和线程差不多多的时候
[01:24:38] 每一个线程上
[01:24:40] 每个CPU上都能够有一个
[01:24:41] sum加压的线程的时候
[01:24:43] 那种所有人都在围观的情况是不会出现的
[01:24:47] 或者说很少非常罕见的出现
[01:24:49] 没有显著的影响
[01:24:50] 但是这这很明显是一个呃SCALABILITY的呃瓶颈
[01:24:55] 你你你不能做任何的呃benchmarking crime
[01:24:59] 因为我我听说有很多
[01:25:01] 叫因为做做实验是很重要的嘛
[01:25:03] 你要证明你的方法是有效的
[01:25:05] 我听说有很多的community
[01:25:07] 里面会把什么提升1%的诀窍
[01:25:10] 就是帮我把呃测试集混一点到训练集里面去
[01:25:14] 好像在某些领域里面是一个不成文的呃规矩
[01:25:18] 但是呃在systems里面
[01:25:21] 我们还没有这个没有这种不成不成文的规矩
[01:25:24] 没每一个同学如果要要做这样的研究
[01:25:27] 定量的研究
[01:25:28] 你们可以从中获得很多的有趣的观察
[01:25:31] 比如说刚才的那个那个观察
[01:25:33] 但是你要特别的留意
[01:25:34] 不要有任何的这种
[01:25:36] Benchmarking ucrap
