[00:00:00] 好我我们前面已经讲了virtualization和concurrency
[01:12:17] 那我做一个LINUX兼容的操作系统应该不太难吧
[01:12:20] 就像微软他想做一个windows subsystem for linux
[01:12:23] 你们你们应该用过这个功能
[01:12:24] 你可以在windows里面直接启动一个windows terminal
[01:12:27] 然后它就是LINUX
[01:12:28] 然后这个LINUX是跑在本地的
[01:12:30] 然后最早的时候
[01:12:32] 每一个LINUX外围就windows subsystem for linux的进程
[01:12:36] 它都是作为一个windows进程跑在windows上的
[01:12:39] 然后只是他每一次调用LINUX系统调用的时候
[01:12:42] windows都会悄悄的把这个系统那位给拦截走
[01:12:45] 然后模拟的执行这个系统调用
[01:12:47] 然后再返回给他
[01:12:48] 甚至每一个LINUX进程都是一个windows进程
[01:12:50] 每一个LINUX线程都是一个windows线程
[01:12:53] 这是一个非常天才的实现
[01:12:55] 就是因为这个UNIX世界
[01:12:56] 比如说IO control prod fs
[01:12:58] 这里面有太多隐藏的细节
[01:13:00] 使得他想要做到百分百的兼容
[01:13:02] 就是就是不可能从工程意义上
[01:13:05] 就就是不可能的
[01:13:06] 所以呃最后他们放弃了微软
[01:13:09] 放弃了放弃
[01:13:09] 最后还是用虚拟机
[01:13:10] 然后在虚拟机里面有一个LINUX内核
[01:13:12] 然后这样他才能实现完整的呃功能性的兼容对
[01:13:17] 然后再在这个I/O control上
[01:13:21] 像像比如说像网卡
[01:13:23] 像GPU这种
[01:13:25] 都是都是非常重度依赖IO control这个
[01:13:30] 这个系统调用的
[01:13:32] 他们绝大部分的功能实现
[01:13:33] 都是通过I/O control完成的
[01:13:34] 比如说要说啊我现在已经把这段内存准备好了
[01:13:37] 然后你可以用DMA做一个cuda memory copy了
[01:13:40] 然后所以他就会把会把这个做一个I/O control
[01:13:43] 它会用一条I/O control
[01:13:45] 来把我当前需要拷贝的那个buffer的地址
[01:13:48] 送给内核
[01:13:49] 然后内核会那个驱动程序会会开始启动DMA
[01:13:52] 去把这个buffer拷到GPU上
[01:13:54] 因为只有只有内核里面的驱动
[01:13:56] 才知道怎么样和GPU对话
[01:13:58] GPU怎么样
[01:13:59] 应该考到用什么样的命令和怎么样的
[01:14:02] 和那些控制寄存器通信来
[01:14:05] 完成
[01:14:06] 内存的啊复制对
[01:14:08] 然后然后呢我这里呢也有另外一个例子
[01:14:11] 不过这个例子没有我web coding的时候
[01:14:14] 他还没有来得及把所有的bug都修完
[01:14:17] 以前X86的时候是是可以跑的
[01:14:19] 这也是一个非常有意思的
[01:14:22] 这里面有一个在我们的LINUX系统里
[01:14:26] 你你们在在你们的X86系统上面
[01:14:28] 也有有一个非常特别的设备
[01:14:30] 叫杠D1为杠KVM旧的virtual machine virtual machine
[01:14:35] 然后还记得
[01:14:36] 我我我在开学的时候实现了个叫crazy os
[01:14:40] 然后这个crazy os干了一件什么事呢
[01:14:42] 说说我们我们就是一个什么是crazy os呢
[01:14:45] 就是Y1
[01:14:46] 然后有一个RV32
[01:14:50] I m a step
[01:14:53] R二V3m a step
[01:14:55] 然后我相当于是我现在有一个进程
[01:14:58] 然后我现在这个进程往前执行一步
[01:15:00] 然后如果这个进程是system call的话
[01:15:02] 我就把它把这个system call给给给处理了
[01:15:06] 好当然这是模拟的模拟的
[01:15:08] 然后这个杠D为杠
[01:15:11] KBM是一个非常神奇的工具
[01:15:15] 它就是一个虚拟机
[01:15:17] 当我创建
[01:15:18] 比如说我在这里的时候
[01:15:19] 我open
[01:15:19] 比如说我先open
[01:15:21] open一个杠低位杠KVM
[01:15:23] 然后好我打开这个设备
[01:15:25] 如果打开成功
[01:15:26] 它就成功了
[01:15:27] 然后然后如果打开失败的话
[01:15:28] 就没有没有没有DVK0
[01:15:30] 然后你就看到这个接口
[01:15:34] 其实还挺恶心的
[01:15:35] I/O control就默默的承担了这个操作系统里面
[01:15:39] 所有的复杂性
[01:15:40] 我就用这样的一个系统调用
[01:15:42] I/O control的系统调用
[01:15:44] 我就可以调用KVM这个SD
[01:15:47] 你看KVM这是一个文件描述符
[01:15:48] 我对这个I/O I/O control的文件描述符
[01:15:51] KMM是open返回的
[01:15:52] 然后我可以执行一个叫KVM create vm的命令
[01:15:56] 然后他就会悄悄的在操作系统内核里面
[01:15:58] 创建一个创建一个虚拟机
[01:16:00] 然后创建一个虚拟机以后
[01:16:03] 我还可以分配内存
[01:16:05] 比如说我我可以可以可以在我地址空间里面
[01:16:07] 额分配内存
[01:16:09] 然后我还可以
[01:16:10] 我就可以在当前的这个进程里面
[01:16:13] 我现在进程进程是有内存的
[01:16:15] 然后比如说我在进程里面有IMAC分配一块内存
[01:16:18] 然后我我我可以用这个I/O control
[01:16:21] 在告诉告诉这个
[01:16:24] 告诉KVM
[01:16:26] KVM说我要
[01:16:28] K v m set user memory region
[01:16:31] 我我可以把这段内存给虚拟机
[01:16:34] 相当于我可以在在我的进程里面
[01:16:36] 分配一个128G的内存
[01:16:37] 128兆的内存
[01:16:39] 然后把这个128兆的内存
[01:16:41] 送给这个内核里面的虚拟机
[01:16:43] 然后这个内核里面的
[01:16:44] 然后我还可以在内核里面
[01:16:45] 比如创建一个VCPU
[01:16:47] 你看我可以创建一个VCPU
[01:16:49] 甚至我还可以创建多个VCPU
[01:16:51] 我可以创建好多个和我VCPU
[01:16:56] 然后我还可以做一大堆的配置
[01:16:57] 你看一大堆的配置好
[01:16:59] 配置我就我就不说了
[01:17:01] 对然后我可以把我可以把一段代码
[01:17:04] 我可以把一段code就送到code data
[01:17:07] 这些东西就有点像显卡嘛
[01:17:09] 呃送到这段内存里
[01:17:11] 实际上就是进程的这段内存里
[01:17:13] 然后然后我会做一个初始的寄存器
[01:17:16] 我可以给这个VCPU初始一个寄存器
[01:17:19] 然后真正神奇的神奇的
[01:17:23] 这个虚拟机是在操作系统内核里面创建的
[01:17:27] 我我用户程序是不能直接访问
[01:17:30] 直接控制它
[01:17:30] 但是可以通过I/O control来控制它
[01:17:32] 比如说我可以改它的寄存器
[01:17:34] 然后呃我的进程里面可以分配一段内存
[01:17:38] 这个内存是属于这个虚拟机的
[01:17:40] 然后当我执行130行的这个I/O control的时候
[01:17:45] 我有个VCPU的文件描述符叫k m run
[01:17:48] 然后他执行的操作
[01:17:51] 当我执行这个k v run的时候
[01:17:54] 它就好像在执行这个东西
[01:17:56] 它可以模拟执行
[01:17:57] 就相当于这是一个V虚拟化的CPU
[01:18:00] 然后这个虚拟化的CPU里面可以执行特权指令
[01:18:03] 就是任何什么关中断这种
[01:18:07] 理理论上说都可以执行
[01:18:10] 对都可以执行
[01:18:10] 所以它可以执行各种各样的特权指令
[01:18:13] 然后特权指令我是不干涉的
[01:18:15] 比如说你说要关中断
[01:18:17] 就好像关了中断一样
[01:18:18] 你里面你就能看到关中断的呃状态
[01:18:21] 然后但是但是它会一直往前执行
[01:18:23] 相当于这个状态
[01:18:24] 我我一旦执行
[01:18:26] are you control v CPU came in run以后
[01:18:29] 我我当前的进程就变成了一个虚拟机
[01:18:31] 这个虚拟机就开始执行了
[01:18:33] 让他一条一条指令连续的执行
[01:18:35] 注意它是连续的执行
[01:18:36] 就执行这个
[01:18:37] 但是但是如果比如说我在这个里面执行
[01:18:43] 触发一些特殊的指令
[01:18:45] 它不是系统调用它
[01:18:46] 它不是形容它是比如触发一些像呃像IO
[01:18:51] 你看KBMXTMMIO
[01:18:54] 然后呃hyper call v m exit shut down
[01:18:58] 就是它有它有一些这个呃原因
[01:19:01] 有一些原因
[01:19:02] 比如说这个他呃他要执行一个IO操作
[01:19:06] 但是因为这是一个虚拟机
[01:19:08] 所以它没有任何的IO设备
[01:19:09] 因为没有它是没有任何打油设备
[01:19:11] 所以
[01:19:13] 它没有任何IO设备
[01:19:13] 它就不能执行IO
[01:19:15] 所以这个时候它就会触发一个v m exit
[01:19:17] 然后这个v m exit
[01:19:18] 就会使这个虚拟机又回到这个进程上去执行
[01:19:21] 回到这个进程上执行
[01:19:23] 然后你会就能看到代码就会执行到这里
[01:19:25] 你可以看到他的exit reason
[01:19:27] 然后如果是memory I/O的话
[01:19:29] 你就可以模拟一个虚拟一个IO设备
[01:19:31] 给他送一个送一个值
[01:19:33] 然后所有所有的这一切就只用l control这一个AB
[01:19:37] 所以啊我当然不考试
[01:19:39] 我不会考这个呃这个KPM的
[01:19:41] 但是你你你可以知道的是是
[01:19:45] I/O control有多么的复杂
[01:19:48] 它一整个虚拟化的子系统都是基于这一个API
[01:19:52] 完成的
[01:19:53] 所以它承载了这个
[01:19:55] 实际上实际上是说承载了访问操作系统内
[01:19:59] 对象和子系统的呃复杂性
[01:20:02] 一定程度上对所有同步的访问
[01:20:04] 都可以通过I/O control啊来完成对
[01:20:07] 所以其实终于
[01:20:08] 今天我们花了很多的时间是理解了
[01:20:11] 操作系统里面的对象
[01:20:14] 我们我们的设备驱动程序是实现了STRUCTIFILE
[01:20:17] operations的呃东西
[01:20:20] 然后最终我们的应用程序会通过设备驱动程序
[01:20:24] 再去访问实际设备的啊数据
[01:20:26] 我这里也有一个呃展示的例子
[01:20:29] 还是我的这个UVC的摄像头
[01:20:32] 然后我有一个我有一个程序
[01:20:35] 这个程序是这样的
[01:20:36] 我先哦我随便加
[01:20:38] 然后我step shot
[01:20:40] 你看我我点我
[01:20:42] 我运行step shot以后
[01:20:43] 我就会从这个呃摄像头里面取一帧
[01:20:47] 然后你看我save to capture
[01:20:49] 点点这块
[01:20:50] 确实确实是
[01:20:53] 这个JPG的数据有点问题
[01:20:55] 应该是这是一个非标准的UUUVC设备
[01:20:58] 但你确实也看到他是呃capture了一些图形
[01:21:02] 你看他那个A
[01:21:03] 看到那个A那个A是我的大写字母caPs lock
[01:21:06] 锁定的那个呃那个灯灯上面的那个字符
[01:21:10] 所以我确实是从这个摄像头里面
[01:21:12] 抓取到了
[01:21:13] 抓取到一帧
[01:21:14] 所以所以这个程序基本上是
[01:21:16] 基本上是可以工作的
[01:21:18] 然后然后我就可以问AI了
[01:21:21] 我可以让他帮我用surface去追踪
[01:21:25] 这个程序实际上这个程序不是我写的这个程序
[01:21:27] 就是我今天上午用5分钟
[01:21:29] web code的没有没有任何的没有任任任何的呃知识
[01:21:36] 我不知道
[01:21:37] 我只知道理论上说我有一个UAC的摄像头
[01:21:40] 我就可以写一个C程序来capture它
[01:21:42] 然后我就可以让AI帮我做
[01:21:44] 然后做完了以后我反过来
[01:21:46] 我不是说做完以后把作业交了就可以了
[01:21:49] 大家一定养成一个习惯
[01:21:51] 你在操作系统课里面学过很多工具
[01:21:53] 因为我们说了
[01:21:54] 说到这个IO设备原理是很简单的
[01:21:57] 它就是通过设备驱动
[01:21:59] 那到底通过了什么
[01:22:00] 你只需要
[01:22:02] 把系统占用的序列打开
[01:22:03] 让AI帮你解释一下
[01:22:05] 你就可以
[01:22:07] 你就可以可以可以知道了
[01:22:09] 所以所以我们看一下
[01:22:11] 诶它有一个时序图
[01:22:13] 所以你看它首先有一个open d为video0
[01:22:17] 确实确实这个东西就是就是video0
[01:22:20] 然后你看它会有很长的一段序列
[01:22:24] 去和这个摄像头交互
[01:22:28] 这个是这是相当于是UVC的驱动给我们提供的
[01:22:32] 有一些驱动给我们提供的
[01:22:34] 因为将来这是一个设
[01:22:35] 这是一个设备
[01:22:36] 这个设备是懂UVC的语言的
[01:22:38] 理论上说它有个SPECIICATION
[01:22:40] 这个设备如果给我放一个什么样的结构体
[01:22:42] 我就应该回一个什么样的结构体
[01:22:43] 然后每一个field是什么什什么意思
[01:22:46] 比如说我可以问这个设备
[01:22:47] 你支持的分辨率有哪些
[01:22:48] 你支持的刷新率有哪些
[01:22:50] 然后你支持的这个视频的模式有哪些
[01:22:53] 然后同样的我们这里也是的
[01:22:56] 各种query
[01:22:58] Querquery cap
[01:22:59] 然后呃s s format
[01:23:01] 然后各种各种
[01:23:02] 然后然后接下来他会用IMAP去分配一个
[01:23:06] 缓冲区
[01:23:07] 然后用I/O control相当于告诉设备驱动
[01:23:10] 我的UVC的设备驱动
[01:23:13] 我缓冲器已经准备好了
[01:23:14] 如果有数据就帮我送到这个内存地址里
[01:23:18] 然后我再等
[01:23:19] 相当于等
[01:23:20] 我就这个呃去等这个stream
[01:23:24] 所以你看我有四块缓冲区
[01:23:26] 我可以就有的时候我的程序处理的会比较慢
[01:23:30] 有的时候我的程序处理比较快
[01:23:33] 我的摄像头的数据会比较慢
[01:23:34] 这些都是由我们的整个
[01:23:37] 相当于我们的呃摄像头的sub system去
[01:23:42] 去处理的好
[01:23:44] 在这里
[01:23:45] STREAMMT以后
[01:23:46] 就可以
[01:23:47] 就可以去buffer里面取一个
[01:23:49] 等待一帧就绪
[01:23:50] 等待一帧就绪
[01:23:51] 也是通过I/O control
[01:23:52] 然后最后用一个right把啊capture点点JPG给
[01:23:56] 给一些写过来的
[01:23:59] 所以啊LINUX那个摄像头的substm we share two
[01:24:02] 然后它不是用read和write实现的
[01:24:04] 而是用用I/O control
[01:24:06] 所以我说read write主要是那个数据的接口
[01:24:09] 但是如果你需要想要直接说
[01:24:12] 请这个设备完成某一项功能
[01:24:14] 完成某项任务的话
[01:24:15] 一般来说我们都是用这个啊I/O control
[01:24:18] 然后这里面有一个呃生产者
[01:24:21] 消费者对
[01:24:23] 然后其他的例子也是非常类似的
[01:24:25] 比如说GPU
[01:24:25] GPU是一个有自己内存的协协处理器
[01:24:28] 它同样的也是呃用IMAP把内存
[01:24:32] 就把我我我的内存
[01:24:34] 我进程的内存可以可以交给
[01:24:37] 设备驱动或者设备
[01:24:38] 甚至我可以直接
[01:24:39] 我可以直接把我自己进程的指针就送给
[01:24:43] 设备驱动程序
[01:24:43] 然后我可以通过I/O control去提交啊命令
[01:24:46] 比如说一个多bear
[01:24:47] 然后让让kernel就从我的GPU里面开始启动
[01:24:50] 本质上GPU也是一个处理器嘛
[01:24:53] 然后他处理器在空闲的时候
[01:24:55] 他是什么也不做的
[01:24:55] 他必须要接受CPU的一个指令
[01:24:57] 然后他才会加载一个程序
[01:24:59] 然后一层一层
[01:25:00] 然后这个东西就会一层一层经过封装
[01:25:02] 然后有LINUX的这个direct rendering manager
[01:25:04] 然后有有lib dr m用户态度库封装这个
[01:25:08] I/O control或者是mesa封装
[01:25:10] 这样的open g r v welcome的
[01:25:13] 实现再去提交这些
[01:25:15] 渲染的命令
[01:25:15] 本质上它和这个UAC的摄像头
[01:25:17] 你会看到类似的
[01:25:19] 稍微比较类似的东西
[01:25:21] 所以这就是关于IO设备的全部
[01:25:24] 这就是这就是全部我们程序的每一个系统调用
[01:25:28] 不管是read write也好
[01:25:30] 在操作系统里面兜了一大圈
[01:25:32] 最终都要变成总线上面的
[01:25:36] 总线上面的连着的设备上面
[01:25:38] 计算器上面的一个值
[01:25:39] 你写进去或者或者读出来
[01:25:41] 这就是计算机的本质
[01:25:43] 没有什么神秘的
[01:25:44] 你们呃可以从最简单的那个LED灯开始
[01:25:48] 1.1点往后想
[01:25:49] 然后
[01:25:49] 然后然后你就你就可以做出很多有趣的东西了
[01:25:52] 比如说呃再比如说啊这个树莓派的这个USB
[01:25:56] 树莓派这个USB它可以做
[01:25:59] 做普通的USB呃的接口
[01:26:02] 也就是说你可以连一个U盘
[01:26:03] 或者连一个鼠标到上面
[01:26:04] 然后他就可以可以可以
[01:26:06] 可以当鼠标和和键盘来用
[01:26:08] 同时这个USB的设备
[01:26:11] 还可以把自己假装成是一个USB的设备
[01:26:16] 你可以用CPU去控制
[01:26:17] 这个可以给另外一头的
[01:26:20] 比如说我可以连一根线
[01:26:21] 然后把这个USB线连到我的这台电脑上
[01:26:24] 然后我的这个电脑
[01:26:25] 我我可以把这个东西模拟成一个键盘或者鼠标
[01:26:28] 我可以假装这是一个USB的键盘
[01:26:31] 然后把按键的信息送给这台电脑
[01:26:33] 然后所以我这是没有键盘的
[01:26:35] 但是我可以模拟出写一个程序来
[01:26:36] 当AAA不停的把USB的这个当成是伪装的
[01:26:40] 自己
[01:26:40] 只要伪装成这个协议嘛
[01:26:42] 本身就寄存器
[01:26:42] 只要我假装自己是一个USB的键盘
[01:26:46] OTG的模式它就可以
[01:26:48] 把数据送伪装成一个设备送给计算机
[01:26:51] 所以这里面有很多很多可以玩的东西
[01:26:53] 比如说你真的可以实现一个呃游戏外挂
