[00:00:00] 今天我们来讲并发算法和并发的数据结构
[01:12:44] 所以我真切的希望有一天
[01:12:46] 我们能有飞快的大模型
[01:12:49] 但也不需要那个什么1万
[01:12:51] 刚才给大家看那个X经理面
[01:12:53] 15000t p s
[01:12:55] 那个太那个太恐怖了
[01:12:56] 但如果你想如果15000TPS能实现的话
[01:12:59] 意味着什么呢
[01:13:00] 意味着就是我敲下回车的那一刻
[01:13:02] 这个问题就就解决了
[01:13:04] 大模型推理
[01:13:05] 基本上赶上我本地执行命令的速度了
[01:13:08] 他不会
[01:13:08] 你看为了这个四千四百四千五百
[01:13:11] 那个token
[01:13:11] 然后就要花花去很长的呃很长的时间
[01:13:15] 那也意味着我可以同时放出很多个并行的agent的
[01:13:19] 去抽卡
[01:13:20] 因为你你们也也发现
[01:13:21] 有的时候尤其是在设计类的任务的时候
[01:13:24] 你你你开多个agent
[01:13:27] 然后让它每一个都有一个结果
[01:13:30] 然后你再去比对哪一个更好
[01:13:32] 你通常能抽到更好的卡
[01:13:34] 这就是概率性的
[01:13:35] 因为大元模型本身就是一个概率分布
[01:13:38] 你你确实可以通过抽卡的方式
[01:13:40] 或者说换不同的prompt来抽卡
[01:13:42] 来来得到一个更好的更好的结果
[01:13:48] 他讲完了
[01:13:50] 我的SCREBACK不够了
[01:13:55] 行没事没事就就看
[01:13:57] 反正你们自己回去会再跟AI对话
[01:13:59] 再把它和它过一遍的
[01:14:02] 你看他通过阅读了整个的e elf文件
[01:14:06] 包括包括ERF文件
[01:14:08] 包括那个呃反汇编的代码
[01:14:10] 然后他他知道了这个整个线程的内存布局
[01:14:13] 线程整个线程内存布局有一个struct peace read
[01:14:16] 然后有一个指向
[01:14:18] 还有一个指向呃TS数据的指针
[01:14:22] 然后还有一个这个点t data
[01:14:24] 一个一个TRS
[01:14:25] 然后T2S
[01:14:27] 它其实是回答了你的
[01:14:31] 你的一个问题的子线程
[01:14:32] TLS是先会执行PSTATECREATE
[01:14:35] 然后map分配一个线程站
[01:14:37] 同时会分配T2S的区域
[01:14:39] 然后它是在主线程里面
[01:14:42] 而不是在子线程创建子线程里面
[01:14:44] 去初始化这个TRS的
[01:14:46] 就是你在这个peace recreate的时候
[01:14:48] 就在我们那个SPN的时候
[01:14:50] 在SPN的时候
[01:14:52] 它会调用一个叫copy t的代码
[01:14:55] 复制一个叫点TDA的
[01:14:58] 它也是EFEF有个叫TDA
[01:15:00] 他要把t data a
[01:15:01] 复制到这个现成的T2S的区域里
[01:15:04] 所以实际上就是操作系统的实际的实现
[01:15:07] 会比你们要想象的要复杂一点
[01:15:08] 我讲线程的时候
[01:15:09] 我我我忽略了这一点
[01:15:10] 因为如果我第一节课在讲线程时
[01:15:13] 我就讲这些细节的话
[01:15:14] 你们马上就不知道我在说什么了
[01:15:15] 然后但是你们已经玩过线程库以后
[01:15:18] 我我再说OO
[01:15:20] 我们系统里面还有一个叫thread local的机制
[01:15:23] 这个机制可以让你在呃定义一个这样的SLOCAL
[01:15:27] int x等于100
[01:15:29] 它会它会存在EF点t data里
[01:15:31] 然后它会在每次线程创建的时候
[01:15:34] 被这个copy copy t r s的呃工作
[01:15:39] 来呃赋值
[01:15:40] OK这就这就有了好
[01:15:44] 然后他也会帮你读那个汇编代码
[01:15:46] 但是因为我的呃buffer不够了
[01:15:48] 所以所以我就没有
[01:15:51] 没呃我就我就不再展示了
[01:15:53] 好像是因为我有一个什么样的system prompt
[01:15:56] 让让这个d pick为什么要
[01:15:59] 为什么要打这样的比方
[01:16:01] 我不确定
[01:16:02] 那是
[01:16:04] 就这样哈
[01:16:05] 嗯那我们讲了这个sum加加
[01:16:09] 就是一个SLOOPY的sum加加
[01:16:11] 然后讲了顺便讲了
[01:16:13] 选local以后
[01:16:13] 我们就可以回到这个并行的呃数据结构了
[01:16:17] 那我们并行的数据结构
[01:16:19] 当然是为了维护一个全一个状态
[01:16:21] 一个数据结构
[01:16:22] 可以是一个线性表
[01:16:24] 可以是一个
[01:16:25] 就是就是一个最简单的数组或者一个二叉树
[01:16:28] 或者一个图
[01:16:29] 这些都是abstract data type
[01:16:31] 而这abstract data type是说哈
[01:16:32] 我有一个data structure或者ADT
[01:16:35] 然后这个ADT有一个接口
[01:16:36] 比如说这个接口可以可以push
[01:16:39] 往往一个队列或者一个list里面push
[01:16:41] 然后可以pop
[01:16:42] 然后这个时候你就把这个东西想象成一个
[01:16:45] 可以push
[01:16:45] 可以pop
[01:16:46] 但是高效的东西
[01:16:47] 然后那你剩下你就可以在这个抽象的基础上
[01:16:50] 去构建各种各样的应用程序
[01:16:52] 那大家都知道
[01:16:53] 你们写程序里面这些数据结构都非常的有用
[01:16:56] 然后所有的这些数据结构它都有一个特点
[01:17:01] 它都是在内存里面分散存储的
[01:17:03] 不管是你一个很大的数组也好
[01:17:06] 还是一个二叉树也好
[01:17:07] 你的信息
[01:17:09] 因为一个数据结构其实它大部分描述
[01:17:11] 比如说要么是一个集合
[01:17:12] 有一个集合set
[01:17:17] 一个sorted set
[01:17:18] 你可以用一个二叉的平衡树
[01:17:20] 红黑树来来维护的一个ordered the set
[01:17:23] 然后我也可以是一个tree
[01:17:25] tree tree是一个这样的
[01:17:27] 有有根有孩子的结构
[01:17:30] 然后或者1graph类似的
[01:17:32] 而所有的这些数据结构
[01:17:36] 它里面越长越大
[01:17:38] 都是一个有局部性的结构
[01:17:40] 它的数我们一般来说我们对关心奥这个节点
[01:17:43] 它的周围的节点有什么性质
[01:17:45] 或者一个全局
[01:17:46] 比如说这个数有多大等等
[01:17:48] 然后一个集合我们关心的是诶
[01:17:50] 这个元素在不在这个集合里啊
[01:17:52] 五八在不在这个集合里
[01:17:53] 然后然后类似的set
[01:17:55] 我还可以基于set去实现一个map
[01:17:57] 一个map或者一个dictionary
[01:17:59] 一个dictionary key value的dictionary
[01:18:01] 我就可以知道对于这个key来说
[01:18:02] 我可以找到一个和它对应的value
[01:18:05] 而所有的这些数据结构
[01:18:07] 它都天生都是有呃局部性的
[01:18:10] 那这就意味着如果啊我要我有两个线程
[01:18:15] 我要想要访问这个数据结构的同时
[01:18:19] 访问这个数据结构
[01:18:20] 你当然可以在这个数据结构上直接上一把大锁
[01:18:22] 那那就排队访问整个数据结构
[01:18:24] 但很有可能的是我的两个线程
[01:18:27] 它访问两个不同的元素的时候
[01:18:30] 它们之间是没有冲突的
[01:18:33] 如果如果如果我有两个线程
[01:18:34] 一个线程想把七删掉
[01:18:35] 一个线程想要问询问七
[01:18:37] 那我一定是得有一把锁把他保护好的
[01:18:40] 但是如果我一个线程问五
[01:18:42] 一个线程问七
[01:18:43] 或者一个线程删二
[01:18:45] 一个线程读七
[01:18:47] 这些都是可以并行执行的
[01:18:50] 这就是数据结构
[01:18:50] 它长大了以后一个抽象数据类型
[01:18:52] 它天生有的有的性质
[01:18:54] 也就意味着读写数据结构的一部分
[01:18:57] 其实不需要锁住整个的数据结构
[01:19:00] 刚才我们的那个sloppy counter其实用了这个特性
[01:19:03] 我们其实是把一个sum
[01:19:05] 你可以想象成是我们把一个SU变成一个list的pan
[01:19:10] SAM加加
[01:19:11] 就是我每次往这个list上面append一个节点
[01:19:15] 我加一就是往往上面判断一个节点
[01:19:17] 然后我我要我问SAM是多少
[01:19:19] 我就是得到这个list的size
[01:19:20] 我相当于是我在本地积累了一个list
[01:19:23] 这个list从来
[01:19:25] 我我一个每次list我直接往本地那个list里面加
[01:19:28] 但是等到我本地加到100的时候
[01:19:31] 我就会对这个全局类似上一把锁
[01:19:33] 把这100个一把头都拼到那个上面去
[01:19:35] 是是吧是吧
[01:19:36] 你可以想象成SAM和这个
[01:19:38] SAM和数据结构之间的啊之间的关系
[01:19:42] 所以就这样的一个idea
[01:19:43] 我们就可以实现锁的拆分
[01:19:46] 锁的拆分
[01:19:47] 我们呃最好情况下就是我们可以分开为
[01:19:51] 数据结构的不同的部分上锁
[01:19:53] 这样我就可以实现
[01:19:55] 在绝大部分的时候都是并行的
[01:19:57] 但是在少部分的时候
[01:19:58] 可能确实要访问同一个元素的时候
[01:20:00] 它才是呃需要去争强
[01:20:03] 同一把锁
[01:20:04] 然后在这里面有几个呃比较常见的模式
[01:20:07] 第一个如果你能用一个原子的指令
[01:20:10] 比如说sum加加
[01:20:11] 你就尽可能的用sum加加
[01:20:13] 比如说你们可能会好奇
[01:20:15] 我的online judge是怎么
[01:20:17] 我的online judge是怎么实现检查的
[01:20:19] 你们各种过不去
[01:20:21] 各各种有有bug有bug就会被我的online价值给逮住我
[01:20:25] 我是怎么做的呢
[01:20:26] 我的online价值里面分配了一块很大的内存
[01:20:29] 非常大的内存
[01:20:30] 然后我我会有
[01:20:32] 比如说我有T1T2T3T4
[01:20:34] 然后我每一个线程
[01:20:37] 比如说我执行了一个MALLOC
[01:20:39] 执行my lock以后
[01:20:40] 我都会在这个数组里面放一个日志
[01:20:44] 就说哈我会放一个日志
[01:20:46] 是MALLOC返回了多少
[01:20:48] 相当于我
[01:20:49] 我每我我每在任何一个县城都会产生一个日志
[01:20:54] 但是我没有上锁
[01:20:55] 我有一个原子的计数器
[01:20:57] 就是N
[01:20:57] 我只需要把atomic把这个N加加一
[01:21:00] 我就可以诶
[01:21:02] 我就可以这个我就可以相当于N加
[01:21:06] N等于N加一
[01:21:07] 然后我就得到了一个这个原子的加一
[01:21:09] 就得到了一个空的slot
[01:21:11] 然后得到一个空的lot以后
[01:21:13] 我再把这个数值给写给写进去
[01:21:15] 然后相当于我有两个指针
[01:21:16] 一个指针是不断的往后跑的
[01:21:18] 然后一个指针是从后往从前往后跑的
[01:21:21] 然后我当然我用了一些trick
[01:21:24] 我用了一些
[01:21:25] 实际上我的程序是有data race的
[01:21:26] 但是这个data rise是正实际在实际上是正确的
[01:21:29] 然后我一边往前跑
[01:21:30] 就一边在分配一边这个这个往前进
[01:21:33] 这个东西往这个指针往前挪
[01:21:35] 它就在回收
[01:21:36] 所以我会在一个县城
[01:21:38] 回收另外一个线程分配的内存
[01:21:40] 这个是你们的常见一个非常常见的
[01:21:43] bug的来源
[01:21:44] 原子指令
[01:21:45] 原指令非常好用
[01:21:45] 但是不在我这门课的呃范围里
[01:21:48] 你们如果有兴趣的话
[01:21:49] 可以去选修那个梁红顶的那个并发程序
[01:21:51] 并发编程的那个课
[01:21:52] 他会讲讲
[01:21:53] 怎么用这种各种各样的花活去实现并发
[01:21:56] 并发算法
[01:21:57] 然后以及我们可以区分读和写的锁
[01:22:01] 有一个PR的r w log t什么意思呢
[01:22:05] 读是可以不止一个线程同时做的
[01:22:09] 比如说我们都想有一有一个集合
[01:22:14] 如果我们想都想去找三去读这个三
[01:22:17] 如果两个线程同时读这个三是完全OK的
[01:22:20] 只要你不去改它
[01:22:21] 但是读者和写者是冲突的写如果你需要写
[01:22:25] 比如说我现在得到一把写锁去写三的时候
[01:22:27] 别人也不能读了
[01:22:29] 所以读写这种不对称的锁
[01:22:31] 它可以允许同时有多个线程读持有毒所
[01:22:35] 但是只有一个线程可以持有写锁
[01:22:37] 而且一旦持有写锁以后
[01:22:38] 毒所也呃也也不能获得
[01:22:41] 这样也可以提升性能
[01:22:43] 至少读全部都可以可以并行了
[01:22:45] 当然最常见的
[01:22:48] 就前面这两种技术都比较难用
[01:22:50] 你们你们在使用的时候要谨慎
[01:22:52] 可能你们现在的知识还不足以让你们能够呃
[01:22:57] 独解锁当然是没问题的
[01:22:58] 就是第一种原子原子指令
[01:23:00] 你们现在还还不足够
[01:23:01] 但至少有一件事情你们是可以做的
[01:23:04] 就是把锁做划分
[01:23:06] 我举个例子
[01:23:07] Hashtable
[01:23:08] HASHTABLE是一种这个非常高效的
[01:23:12] key value的数据结构
[01:23:13] 大家都知道
[01:23:14] 你每一个元素来了
[01:23:15] 比如说抬起来了
[01:23:17] 我会先为他算一个hash function
[01:23:20] sin hash function以后我就可以找到一个格子
[01:23:22] 找到一个格子诶
[01:23:23] 然后如果这个格子是空的空的好
[01:23:26] 我就可以把这个X放进去
[01:23:27] 放进去好
[01:23:29] 然后比如说Y来了
[01:23:30] Y来了
[01:23:31] 然后就再有一个HY
[01:23:33] 然后啊我就可以把Y放进去
[01:23:35] 这样我就可以维护一个
[01:23:36] 以接接近于O1的时间来维护一个呃集合
[01:23:40] 或者维护一个序列
[01:23:42] OK然后然后因为这是一个数组
[01:23:44] 它TRI果是一个数组
[01:23:46] 所以你想要把锁拆分也很简单
[01:23:48] 你可以为每一个格子上上一把锁
[01:23:52] 或者你可以每若干个格子
[01:23:54] 每每几个格子上一把锁
[01:23:55] 这是lock1
[01:23:56] 这是lock2
[01:23:59] lock1lock2好
[01:24:00] 这是非常常见的算法
[01:24:03] 那如果你你你现在比如说这一段
[01:24:06] 我们分配的是log3
[01:24:09] 那如果你要访问X或者访问这几个东西的话
[01:24:12] 你就只有这把log log3
[01:24:14] 所对应的锁
[01:24:15] 当然当然这是简单的情况
[01:24:17] 如果你如果你在这里面放链表
[01:24:19] 就是如果如果这里你hash发生冲突以后
[01:24:23] 你用链表把这些元素串起来
[01:24:24] 或者用一个二叉树来把它串起来
[01:24:26] 这这就没没没什么麻烦
[01:24:28] 你
[01:24:28] 你就整个相当于把这一整个数据结构都锁住了
[01:24:31] 但是如果你用这种open addressing
[01:24:33] 也就是说如果你发现另外一个数
[01:24:35] 比如说Z来了以后
[01:24:37] Z和AZX和HX
[01:24:40] 呃小HZ和HX是相等的
[01:24:43] 那你就需要比如说从这个地方要找下一个
[01:24:46] 下一个位置
[01:24:47] 你可以是linear prom
[01:24:48] 可以是是这种querquratic prom好
[01:24:51] 你要把自己放在这个位置
[01:24:53] OK没问题
[01:24:54] 不是比如说ZW他们都
[01:24:56] 比如说等于HW都都插入到这
[01:24:59] 一旦你开始这种open addressing
[01:25:02] 你就给这个并发数据结构带来了无穷多的麻烦
[01:25:05] 首先首先你删除的时候
[01:25:09] 你不能直接删除
[01:25:11] 你不能直接把这个Z就如果你要把Z删除掉
[01:25:14] 你不能直接把这个Z就从开始SP给抹掉
[01:25:17] 为什么呢
[01:25:18] 因为XZ和W是同一个hash方式
[01:25:23] 同一个函式方式
[01:25:24] 然后同一个
[01:25:26] catch function就意味着我我我如果要找W的话
[01:25:30] 我先会得找X再找Z再找W
[01:25:32] 但如果你把Z删掉了
[01:25:34] 这不就断了吗
[01:25:35] X就结束了
[01:25:36] 它就再也找不到W
[01:25:37] 但W实际上是在hash table里面
[01:25:39] 所以这里就有一个TOMSTONE
[01:25:41] 需要这个机制
[01:25:42] 就删除的时候
[01:25:43] 你需要一个tom st的机制
[01:25:45] 这个这个在数据结构里面是非常常常见的机制
[01:25:48] 但更难的其实是resize
[01:25:50] 如果你要做一个resize
[01:25:52] 你就想一想
[01:25:54] 我在有我有人在便利它
[01:25:56] 然后resize就意味着我要创
[01:25:58] 我要分配一块新的完全新的可能
[01:26:02] 比如1.5倍大的hash table
[01:26:04] 然后我要把这些元素要迁移过来
[01:26:07] 然后迁移过来
[01:26:08] 同时我还要把这个数据又给删掉
[01:26:10] 当然你可以说我一开始就把所有的锁都上上
[01:26:13] 对我可以把所有的锁都上上
[01:26:15] 然后我我慢慢写慢慢写慢慢写
[01:26:17] 把它移过来
[01:26:17] 但这个效率很低
[01:26:19] 相当于在resize的一瞬间
[01:26:21] 整个这个数据结构都变得不可用了
[01:26:24] 你可能有达到秒级的时间
[01:26:26] 这个数据结构都变得不可用了
[01:26:27] 所以实际的数据
[01:26:29] 实际的数据结构的设计者
[01:26:30] 他会把它做成是一点一点腾挪
[01:26:32] 用细粒度的锁
[01:26:33] 这个地方就非常容易错
[01:26:34] 就跟你们的MALLOC里面上错上厕所一样
[01:26:37] 那我下节课再花点时间来讲这个
[01:26:40] MLOCK请大家保持对这个库函数的敬畏之心
