[00:00:00] 今天我们来讲应用视角的操作系统
[01:17:34] 这些这些不那么重要的东西
[01:17:36] 更重要的是呃要教大家一个用工具的呃思维
[01:17:40] 所以我们回到今天我我说的一个很重要的主题
[01:17:44] 说你在世界上
[01:17:46] 你在操作系统世界里面
[01:17:47] 看到的所有的应用程序和minimal都是等
[01:17:50] 都是一样的
[01:17:51] 都是一样的
[01:17:52] 你能证明他吗
[01:17:55] 下一句就这首先我说这句话
[01:17:58] 我我是你们的老师
[01:17:59] 而且我在这个领域里面
[01:18:01] 还是有一定的知识储备的
[01:18:02] 所以我应该不会忽悠你们
[01:18:04] 我不会故意说一个错的话来忽悠你们
[01:18:06] 这个违违背了师德师风
[01:18:08] 我要被开掉的
[01:18:09] 但是呃这不就不意味着我我说这句话
[01:18:13] 你们也觉得这个事是成立的
[01:18:15] 故事就到此为止了
[01:18:16] 你们总是可以试着再问一句
[01:18:20] 真的吗
[01:18:22] 是这样的吗
[01:18:23] 你还可以给的把这件事情解释的更好吗
[01:18:27] 如果你们问出这句话
[01:18:29] 下一下一步就是我们有没有可能去把一个
[01:18:33] 任何一个这里面的应用程序给打开
[01:18:37] 我要证明我看到的一些真实的应用程序
[01:18:41] 它真的就是和我们上课讲的那面模式一样
[01:18:45] 他就是在调用系统
[01:18:47] 调用在完成一些事情
[01:18:49] 我们刚才讲给大家示范了很多的额
[01:18:52] 很多的应用程序
[01:18:53] 在这里我就要用到一个工具
[01:18:55] 这个工具叫trace
[01:18:58] 我就做一个空的
[01:19:02] 如果我们现在直接用GCC去编译这个程序
[01:19:05] 也是你们在计算机系统基础课上面
[01:19:07] 做了无数次的
[01:19:07] 你看到它生成了一个合法的二进制文件夹
[01:19:10] A点alt
[01:19:11] 然后他也执行
[01:19:13] 这事情就过去了
[01:19:14] 但是操作系统里面其实有一个系统工具
[01:19:18] 可以帮你把这个系统调用这个程序执行的
[01:19:21] 所有的系统调用序列都打开
[01:19:29] 这个叫trace
[01:19:30] trace是叫system countries
[01:19:33] 还有别的trace
[01:19:34] 什么library countries之类的
[01:19:35] 你也可以做做自己的trace
[01:19:37] 它会打印出这个程序在运行过程当中
[01:19:41] 所有的system call
[01:19:43] 当然这个不是所有的
[01:19:45] 因为我们还要再加一个
[01:19:48] 还需要再加一个选项
[01:19:50] 叫呃叫杠F杠F是
[01:19:53] 是说我所有创建的紫禁城我也要一起追踪
[01:19:56] 这时它就变得更长了
[01:19:59] 你可以看到他开始写读写文件了
[01:20:01] 然后你可以看到呃GCC开始往一些
[01:20:06] 你看开始往一些这个临时文件里面做事情了
[01:20:09] 对它会创建一个临时的点O文件
[01:20:12] 然后再把这个点O文件
[01:20:14] 弄好以后再会把这个点O文件给删掉
[01:20:16] 你看它有一个这个叫UNLINK
[01:20:19] 这里有一个UNLINK的系统调用
[01:20:20] 它把这个点O文件给删掉了
[01:20:22] 所以你证一定程度上证明了我们的编译器
[01:20:26] 我不知道你们期末考试会不会考这样的问题
[01:20:28] 说GCC你知道它会经过编译链接这些
[01:20:32] 包括汇编的这个过程
[01:20:33] 这是你们指导教科书上写的
[01:20:35] 那他到底是调用了一个外部工具
[01:20:38] 还是他自己就把这件事情做了呢
[01:20:41] 从实现的角度
[01:20:42] 两者都可以
[01:20:43] 我完全可以实现一个自己的编译器材
[01:20:45] 我我在中间就把所有的东西都都都准备好
[01:20:48] 在我内存里
[01:20:49] 然后我最后直接输出一个A点out
[01:20:51] 但我也可以以调用一个外部进程的方式
[01:20:55] 来来处理它
[01:20:58] 所以s trace帮你打开了这个系统调用序列
[01:21:02] 你就知道它真正是怎么发生的
[01:21:04] 然后在在AI之前
[01:21:07] 在AI的史前时代呢
[01:21:09] 呃我都会讲这样的一个一个故事
[01:21:13] 如果系统调用的log
[01:21:15] 就这是GCC编译
[01:21:17] 这是GCC编译
[01:21:19] 一个最简单的程序所执行的2249个
[01:21:23] 所有的系统来用
[01:21:24] 它这么长
[01:21:25] 你绝对不会愿意看的
[01:21:28] 你绝对不会愿意看的
[01:21:30] 那我们应该怎么办呢
[01:21:36] 就是你你这样想
[01:21:37] 先假设这是在AIAI之前的时代
[01:21:40] AI之前的时代
[01:21:42] 同学们首先听老师说
[01:21:45] 哎老师上课会说我们有一个工具叫ass trace
[01:21:48] 它可以打印出任何一个程序二进制文件执行的
[01:21:51] 这里面二进制二进制文件
[01:21:52] 所有的系统调用的序列
[01:21:54] 那我们来打开它看一看吧
[01:21:56] 然后你们看一眼肯定是把它关掉
[01:21:58] 因为你你你搞不明白嘛
[01:22:01] 搞不明白还有这么多干扰项
[01:22:04] 然后这个时候呃我我就会说好
[01:22:07] 其实unix philosophy不断的都在呃在这里起作用
[01:22:12] 我们可以干什么呢
[01:22:13] 你有任何一个
[01:22:17] 你用任何一个文本
[01:22:19] 然后这个文本它都可以经过一个工具
[01:22:24] 把你不需要的东西给去掉
[01:22:30] 然后他就得到一个一个文本
[01:22:32] 然后你再把再可以经过一个工具
[01:22:34] 再把你不想要的东西给去掉
[01:22:36] 然后再或者加工一下
[01:22:37] 把格式变得更可读
[01:22:38] 所以我们呃一史前时代我是这样的
[01:22:43] 比如说你对
[01:22:45] 比如说你对
[01:22:47] 所有的文件操作你都没兴趣
[01:22:50] 我就把整个我当前区域里面
[01:22:53] 所有的文本用管道传递给grab
[01:22:56] 然后把有这个什么f d current directory的都去掉
[01:23:01] 然后你看他就他就说2249行
[01:23:06] filter的现在只剩下1700个了
[01:23:09] 只剩下1700个
[01:23:10] 然后你对某一个系统调用感兴趣
[01:23:11] 你就可以呃grab
[01:23:15] 比如说EXECVE
[01:23:17] 然后我会告诉你
[01:23:19] EXECVE是
[01:23:22] 只是启动另外一个程序所用的系统调用
[01:23:26] 然后那你可以看到GC确实在启动一些其他的
[01:23:29] 他其它会试图找一些
[01:23:32] 比如说诶有没有有没有这里的有没有汇编器
[01:23:35] 然后如果没有
[01:23:35] 他会再换一个路径找
[01:23:37] 换一个路径
[01:23:37] 找一个一个路径找
[01:23:38] 然后直到呃有一个早成功了
[01:23:42] 这个汇编器就就执行了
[01:23:44] 这是史前的
[01:23:45] 但是今天我们再也不需要这样了
[01:23:49] 你只需要说
[01:23:53] Full trees or system co generated by gcc
[01:23:58] A点c with all sub processes
[01:24:03] 然后我们可以看他他他会写脚本
[01:24:06] 就coco的对
[01:24:09] 就或者说说最近的模型对
[01:24:12] unix ploy理解的非常好
[01:24:14] 他会知道什么是它怎么样从一个环境里面
[01:24:19] 从一个呃路径里面找出相关的信息
[01:24:23] 不管是调用一个工具也好
[01:24:25] 还是直接就把把那个文件拿过来也好
[01:24:27] 然后它也会能够动态的生成脚本
[01:24:31] 然后用unit philosophy
[01:24:34] 唉你看他开始写了
[01:24:39] 他用了一个
[01:24:40] 你看他用了一个s trace
[01:24:42] trace杠o s trace点log
[01:24:44] 它把它更安全的输出到了呃文件里
[01:24:52] 然后他就会分析这个s race的输出文件
[01:24:57] 他在各种分析
[01:25:00] 系统内容好
[01:25:00] 我让他
[01:25:01] 我让他分析一会
[01:25:02] 我还是来讲
[01:25:03] 来讲下一个例子
[01:25:05] GCC然后呃下一个例子是
[01:25:13] 啊下一个例子是一个图形化的编辑器
[01:25:17] 比如说vs code
[01:25:19] 当然我我我会有一个
[01:25:21] 相对来说更简单的叫x edit
[01:25:26] 啊有点小
[01:25:26] 但没关系
[01:25:27] 你可以看到这是一个这是一个文本编
[01:25:30] 这是一个文本编辑器
[01:25:33] 我可以在这里面是文本
[01:25:34] 然后我也可以啊保存文件
[01:25:36] 那它的功能本质上就和vs code是是一样的
[01:25:40] 我可以编辑
[01:25:40] 我可以有键盘和鼠标的操作
[01:25:42] 然后我的程序收到了键盘和鼠标的操作以后
[01:25:46] 这个他就可以做任何他想做的事情
[01:25:51] 那就是你写应用程序的应用程序的事情
[01:25:54] 那我们也可以同样也可以
[01:26:01] 对吧好我我就随便做一点什么
[01:26:04] 我随随便做一点什么
[01:26:05] 然后我退出好
[01:26:08] 那我确实也得到了一个x editing log
[01:26:10] 然后以前以前我就只能说
[01:26:14] 哎呀我把那个擦掉了
[01:26:16] x edit这样的程序
[01:26:18] 他自己虽然是个图形界面程序
[01:26:21] 它自己不会
[01:26:22] 每个像素一个一个像素去屏幕上面直接绘制
[01:26:25] 因为如果所有图形界面程序都这样绘制的话
[01:26:28] 呃这个屏幕就完全乱掉了
[01:26:30] 而是它是用一个发消息的方式
[01:26:32] 所以你看到他绝大部分的呃系统调用都是
[01:26:36] receive message
[01:26:38] PAUL相当于是发消息和收消息
[01:26:41] 然后他会告诉另外一个有权限管理整个系统
[01:26:44] 所有窗口的程序
[01:26:46] 说哎
[01:26:46] 其你能不能在我负责的窗口上的某一个位置
[01:26:49] 画一个什么东西
[01:26:50] 然后或者是我收到了我这个窗口的哪一个位置
[01:26:54] 得到的一个点击
[01:26:55] 然后这都是相对的
[01:26:56] 这样我把这个窗口从一个地方
[01:26:57] 拖到另外一个地方
[01:26:59] 也完全没有问题
[01:27:00] 是由由底下的那个渲染器去把它渲染到
[01:27:04] 正确的位置的
[01:27:05] 当然我今天我现在今天也可以完全问这个对
[01:27:10] 我也可以直接让他让让他读
[01:27:16] 那这边呃终于完成了
[01:27:18] 而且他你看他做的比比我上课讲的好得多
[01:27:22] 因为我上课最多也只能是
[01:27:24] 把那个日志给你们分析一下
[01:27:26] 分析完了以后
[01:27:27] 我要花5分钟在黑板上给你写
[01:27:29] 但他都帮你把这个图画好了
[01:27:31] 你看进程的父子关系
[01:27:32] GCC会先调用一个编译器的前端
[01:27:35] 调用汇编器
[01:27:36] 调用链接器
[01:27:37] 用什么样系统调用做的
[01:27:41] 然后你可以继续的追问
[01:27:42] 因为所有的像日志什么都在都在上下文里
[01:27:45] 所以所有的程序的实现
[01:27:47] 今天就一个都是通过system call
[01:27:50] 也是整个操作系统
[01:27:51] 我这个学期会讲的内容
[01:27:53] 我就花一个学期把system cos跟大家讲清楚
