[00:00:00] 上一节课我们讲了虚拟化的最后一次课
[01:16:11] 因为它有分支预测器
[01:16:13] 你的处理器里面有分支预测器
[01:16:15] 它能知道你后面的程序
[01:16:16] 猜你是后面程序是怎么执行的
[01:16:18] 然后去执行那些不需要依赖的
[01:16:21] 这是一件非常可怕的事情
[01:16:23] 你有两层编译器都在好
[01:16:26] 看起来好像是调换你的指令的顺序
[01:16:29] 所以我们的shared memory就是这个概念的模型
[01:16:33] 每次选一个线程
[01:16:35] 选一条指令执行一条
[01:16:36] 这个幻想根本就不存在
[01:16:38] 实际上我们的计算机系统为了性能
[01:16:43] 我们根本不是一个shared memory
[01:16:45] 不是一个shared memory
[01:16:46] 而是什么呢
[01:16:48] 没有人知道memory是什么
[01:16:50] 看起来好像是每一个县城都有一份
[01:16:53] 他自己的memory的副本
[01:16:55] 然后我他的load和store都是和他自己的memory
[01:16:57] load和store
[01:16:58] 然后这些memory之间的交互是完全不知道的
[01:17:01] 由硬件厂商随便实现
[01:17:03] 当然也不完全不是完全的水平
[01:17:06] 由硬件厂商实现
[01:17:07] 硬件厂商只要达成内存上的eventual consistency
[01:17:11] 就最终比如说我现在所有的CPU都都不执行
[01:17:15] load和store
[01:17:16] 最后他们的这个memory会慢慢达成一致
[01:17:19] 或者是直到我执行一条特殊的指令
[01:17:21] 说我需要让你的内存
[01:17:23] 这段内存要达成一致的时候
[01:17:24] 这两个内存才会分布式内存才会互相通信
[01:17:27] 最后达成一致
[01:17:29] 这带来了一个什么什么极度糟糕的问题呢
[01:17:34] 就这样的一个一个程序
[01:17:37] 我们有两个线程T1是X等于1load y t
[01:17:44] 二是Y等于1load x
[01:17:48] 那我来给这个事件编个号好不好
[01:17:53] 你们因为程序是按照顺序还是按照顺序执行的
[01:17:57] 在这个模型上
[01:17:59] 在这个模型上
[01:18:00] 我们执行的程序的顺序有哪些呢
[01:18:03] 如果是按照1234执行
[01:18:06] 那load的结果如果按照1234的顺序执行
[01:18:12] 那么load y的时候
[01:18:13] load y就Y就等于零
[01:18:15] 然后load x是等于一
[01:18:17] 然后如果我按照一二
[01:18:19] 不能21243
[01:18:20] 如果1324呢
[01:18:25] 如果是1324
[01:18:28] 那这个时候一三执行完了
[01:18:30] X等于一
[01:18:30] Y等于一
[01:18:30] 所以我会得到两个一
[01:18:32] 然后如果1342呢也是一样的
[01:18:34] 也是X等于一
[01:18:35] Y等于一
[01:18:36] 无论你怎么样排列
[01:18:38] 因为一和三至少有一个先执行
[01:18:41] 在至少在处理器意义上
[01:18:43] 二是不能顺序意义上
[01:18:44] 二是不能在一前面执行的
[01:18:46] 二不能在一前面执行
[01:18:47] 所以二和四
[01:18:49] 二和四不能限制行
[01:18:51] 所以至少有X和Y里面是一个一
[01:18:54] 至少有一个一
[01:18:55] 所以你你能够看到一零
[01:18:56] 可以看到零
[01:18:57] 一可以看到一一
[01:18:58] 但是你看不到零
[01:18:59] 你不能看到零零
[01:19:00] 但是根据处理器也是编译器
[01:19:03] 你应该是能看到零零的
[01:19:05] 为什么呢
[01:19:06] 你写X等于一的时候
[01:19:08] 你往自己的内存里写的
[01:19:09] 他还没有送到另外一个
[01:19:11] 还没有送到另外一个CPU的内存里
[01:19:14] 然后你这个时候就去读诶
[01:19:17] 我就读到了
[01:19:18] 这就是一件非常可怕的非常可怕的呵
[01:19:22] 呃非常可怕的事情
[01:19:23] 而且呃这样的可怕的事情
[01:19:25] 是可以直接在代码上面观察到的
[01:19:30] 我们也给大家准备了这样的一份代码
[01:19:33] 这个代码稍微有点长
[01:19:36] 大概是呃我有两
[01:19:38] 我有两个线程
[01:19:39] 就是T1和T2
[01:19:40] 但是T1和T2会等到我把旗子举起来
[01:19:43] 两个旗子一起同时举起来
[01:19:45] 呃然后T1和T2就能执行
[01:19:47] 然后执行以后他会把结果打印出来
[01:19:49] 然后我再把旗子放下来
[01:19:50] 再把旗子举起来
[01:19:51] 放下来举起来放下来
[01:19:52] 这样就可以看到我是一个反复运行的
[01:19:56] 这个举起旗子
[01:19:57] 放下旗子
[01:19:58] 放下旗子
[01:19:59] 反复运行的过程
[01:20:00] 但我为了把这个代码写对
[01:20:01] 你看我用了多少
[01:20:02] 又有多少你们不知道的东西
[01:20:04] 什么atomic load fetch
[01:20:07] 抑或我给大家的忠告就是
[01:20:09] Don't play with shared memory
[01:20:10] 我们可以运行一下这个程序
[01:20:13] 你就知道理论上我们是看到1001和一一
[01:20:20] 但实际上如果你真的运行的话
[01:20:22] 你几乎只能看到零零
[01:20:24] 就是因为程序处理器运行的如此之快
[01:20:28] 它就为了快我写完这个以后
[01:20:30] 我马上就去读了
[01:20:31] 写完这个我马上就去读了
[01:20:33] 这两个代码几乎不可能不太可能
[01:20:36] 在X等于一
[01:20:37] Y等于以后
[01:20:37] 比如说都被中断
[01:20:39] 如果真的比如他们俩都被中断
[01:20:41] 那之后这两个漏斗就能看到一
[01:20:43] 但这是一个非常罕见的情况
[01:20:44] 所以如果我们比如说我们可以做很多次实验
[01:20:48] 诶
[01:20:48] 这就是unix philosophy
[01:20:51] 我觉得还是我喜欢的地方
[01:20:53] 刚才那个程序是无限制的做实验
[01:20:55] 但是我可以用一个head做有限次的实验
[01:20:59] 然后做有限次实验以后
[01:21:00] 我还可以排序
[01:21:01] 排序以后我可以把相同的合相合
[01:21:05] 并
[01:21:05] 用一个unique的命令
[01:21:06] 这样我就得到了一次实验
[01:21:08] 然后你看到我做了10万次的实验
[01:21:11] 6万次是004
[01:21:14] 4万次是零一
[01:21:15] 很少的一零
[01:21:16] 当然这跟我打印也有关系
[01:21:18] 没有意义
[01:21:19] 看不到一
[01:21:20] 但这点就告诉你
[01:21:21] 你在并发程序所有的认识都崩塌了
[01:21:27] 你用这样的
[01:21:28] 以前我们都是用这样的模型来理解程序
[01:21:30] 并且这个模型实际上在理解顺序程序的时候
[01:21:34] 还是理解还是很好的
[01:21:35] 我们一直上课也都用这个模型
[01:21:37] 弹道并发里面全部都崩塌了
[01:21:39] 所以这就是我要说入门到放弃的一个
[01:21:42] 非常重要的一点
[01:21:45] 你们放弃的不是不去做并发编程
[01:21:48] 而是要放弃用这种简化的方式去理解并发程序
[01:21:54] 这样你你会丢失掉很多的可能发生的行为
[01:21:57] 从而导致严重的问题
[01:22:00] 然后我觉得这里也也有意思
[01:22:01] 最后一句话
[01:22:03] 我觉得很多的机制啊都是这样的
[01:22:05] 我们说我们今天打开了一个魔鬼
[01:22:07] 然后编程世界里面有很多这种图
[01:22:09] 方便了直接把刀子递给程序员的机制
[01:22:12] 你看今天你用刀子
[01:22:14] 你说你写线程的时候
[01:22:15] share memory是挺方便的
[01:22:17] 但是你发现你1+1都不会写了
[01:22:20] 因为有共享内存的多线程
[01:22:22] 因为有宽松内存模型
[01:22:23] 你123你都数不对了
[01:22:24] 然后你看你mammock free open clothes
[01:22:27] 都有这样的呃问题
[01:22:30] 当然在AI的时代
[01:22:31] AI我们AI是一个核动力的牛马
[01:22:33] 只要有电真的是核动力的
[01:22:34] 只要有电
[01:22:35] 它就能能跑
[01:22:36] 你就不需要这种图方便的把刀刀子了
[01:22:39] 我们只需要给这个在关键的路径上面
[01:22:42] 极限性能能力适当的开放一点
[01:22:44] 共享内存的能力
[01:22:45] 让他麻烦一点
[01:22:46] 我觉得不是问题
[01:22:47] 好这个回头我们再讨论这个
